Name,Dihedral Linking Number
3_1,"[[2, 2]]"
6_1,"[[4/3, 4/3]]"
7_4,"[[-2/3, -2/3]]"
7_7,['No Dihedral Linking Number Exists']
8_5,"[[4, 4]]"
8_10,['No Dihedral Linking Number Exists']
8_11,"[[-7/11, -7/11]]"
8_15,"[[8/3, 8/3]]"
8_18,"[[-2, -2], [-2, -2], [2, 2], [2, 2]]"
8_19,"[[-1, -1]]"
8_20,"[[0, 0]]"
8_21,"[[0, 0]]"
9_1,"[[6, 6]]"
9_2,"[[0, 0]]"
9_4,"[[-5/2, -1]]"
9_6,['No Dihedral Linking Number Exists']
9_10,"[[5/7, 5/7]]"
9_11,"[[0, 0]]"
9_15,"[[2, 2]]"
9_16,"[[2/3, 2/3]]"
9_17,"[[2, 2]]"
9_23,"[[-5/3, -5/3]]"
9_24,"[[29/9, 29/9]]"
9_28,"[[-1, -1]]"
9_29,"[[0, 0]]"
9_34,"[[-2, -2]]"
9_35,"[[-3, -3], [-1, -1], [-1, 0], [-14/3, -14/3]]"
9_37,"[[0, 0], [1, 1], [2, 2], [1, 2]]"
9_38,"[[-1, -1]]"
9_40,"[[2, 2]]"
9_46,"[[0, 0], [1, 0], [2, 2], [2/3, 2/3]]"
9_47,"[[1, 1], [3/2, 3/2], [2, 2], [-2, -2]]"
9_48,"[[6, 6], [0, 0], 'No Dihedral Linking Number Exists', [0, 0]]"
10_4,"[[-1, -1]]"
10_5,"[[-1, -1]]"
10_9,"[[0, -1]]"
10_10,['No Dihedral Linking Number Exists']
10_14,"[[0, 0]]"
10_19,"[[2, 2]]"
10_21,"[[1, 1]]"
10_29,"[[-5/3, -5/3]]"
10_31,"[[1, 1]]"
10_32,"[[0, 0]]"
10_36,"[[13/3, 13/3]]"
10_40,"[[-2, -2]]"
10_42,"[[2, 2]]"
10_59,"[[0, 0]]"
10_61,"[[3/7, 3/7]]"
10_62,"[[-1/3, -1/3]]"
10_63,"[[8/3, 8/3]]"
10_64,"[[-3/5, -3/5]]"
10_65,"[[1/3, 1/3]]"
10_66,"[[4/3, 4/3]]"
10_67,"[[-2, -2]]"
10_68,"[[-1, -1]]"
10_69,"[[0, 0]]"
10_74,"[[-3, -2], [1, 1], [-2, -2], [-9/5, -9/5]]"
10_75,"[[-1, -1], [-2/3, -2/3], [3/2, 3/2], [1, 1]]"
10_76,['No Dihedral Linking Number Exists']
10_77,"[[-3, -3]]"
10_78,"[[5, 5]]"
10_82,"[[-1, -1]]"
10_84,"[[2/3, 2/3]]"
10_85,"[[-1, -1]]"
10_87,['No Dihedral Linking Number Exists']
10_89,"[[-1, -1]]"
10_96,"[[1, 1]]"
10_97,"[[0, 0]]"
10_98,"[[-3, -3], [0, 0], 'No Dihedral Linking Number Exists', [0, 0]]"
10_99,"[[-1, -1], [-2, -2], [1, 1], 'No Dihedral Linking Number Exists']"
10_103,"[[0, 0]]"
10_106,"[[0, 0]]"
10_107,"[[0, 0]]"
10_108,"[[1, 4]]"
10_112,"[[0, 0]]"
10_113,"[[-8/13, -8/13]]"
10_114,"[[-2, -2]]"
10_120,"[[-2, -2]]"
10_122,"[[2, 2]]"
10_136,"[[-4/5, -4/5]]"
10_139,"[[20/11, 20/11]]"
10_140,"[[1, 1]]"
10_141,"[[4, 4]]"
10_142,"[[2/3, 2/3]]"
10_143,"[[0, 0]]"
10_144,"[[3, 2]]"
10_145,"[[8/3, 8/3]]"
10_146,['No Dihedral Linking Number Exists']
10_147,"[[1/2, 1/2]]"
10_158,"[[1, 1]]"
10_159,"[[3/2, 3/2]]"
10_160,"[[1, 1]]"
10_163,"[[1, 1]]"
10_164,"[[-1, -1]]"
10_165,"[[3, 3]]"
11a_6,"[[1, 1]]"
11a_8,"[[0, 0]]"
11a_16,"[[0, 0]]"
11a_17,"[[-2, -2]]"
11a_21,['No Dihedral Linking Number Exists']
11a_37,"[[-4, -4]]"
11a_38,"[[1, 1]]"
11a_43,"[[-2, -2], [-1, -1], [-7/2, -2], [-2, -2]]"
11a_44,"[[-2/15, -2/15], [0, 0], [-1, -1], [19/25, 19/25]]"
11a_45,"[[-1, -1]]"
11a_46,"[[2, 2]]"
11a_47,"[[-1, -2], [-2, -2], [0, 0], [-3/5, -3/5]]"
11a_49,"[[-7/5, -7/5]]"
11a_57,"[[0, 0], [-2, -3], [-1, -1], [-2, -2]]"
11a_58,"[[0, 0]]"
11a_63,"[[-2, -2]]"
11a_69,"[[-7/3, -7/3]]"
11a_71,"[[0, 0]]"
11a_72,"[[0, 1]]"
11a_73,['No Dihedral Linking Number Exists']
11a_78,"[[-2, -2]]"
11a_90,"[[0, 0]]"
11a_91,"[[11/3, 11/3]]"
11a_93,"[[5/2, 5/2]]"
11a_99,"[[0, 0]]"
11a_100,"[[-92/95, -92/95]]"
11a_102,"[[2, 2]]"
11a_103,"[[0, 0]]"
11a_106,"[[-2/3, -2/3]]"
11a_107,"[[0, 0]]"
11a_108,"[[0, 0]]"
11a_109,"[[-8/9, -8/9]]"
11a_117,"[[0, 0]]"
11a_118,"[[-3, -3]]"
11a_123,"[[0, 0], [-3, -3], [-7/5, -7/5], [-5/3, -5/3]]"
11a_128,"[[1, 0]]"
11a_130,"[[1, 1]]"
11a_132,"[[-2, -2]]"
11a_134,"[[-2, -2]]"
11a_135,"[[-1, -1], [1, 1], [-16/3, -16/3], [-1/3, -1/3]]"
11a_137,"[[2, 2]]"
11a_139,"[[-11/17, -11/17]]"
11a_146,"[[-1, -1]]"
11a_152,['No Dihedral Linking Number Exists']
11a_155,"[[0, 0], 'No Dihedral Linking Number Exists', [2, 2], [0, 0]]"
11a_157,['No Dihedral Linking Number Exists']
11a_159,"[[4/3, 4/3]]"
11a_161,"[[-1, -1]]"
11a_165,"[[6/13, 6/13]]"
11a_171,"[[4/3, 4/3]]"
11a_173,"[[-5, -5], [-1, -1], [-1/2, -1/2], [0, 0]]"
11a_175,"[[1, 1]]"
11a_176,"[[1, 1]]"
11a_178,"[[-8/3, -8/3]]"
11a_179,"[[0, 0]]"
11a_181,"[[-11/6, -11/6], [-4, -4], [2/3, 2/3], [-4, -4]]"
11a_184,"[[-1, -1]]"
11a_187,"[[1, 1]]"
11a_194,"[[2, 2]]"
11a_196,"[[0, 0]]"
11a_199,"[[3, 3]]"
11a_201,"[[4, 2]]"
11a_202,"[[20, 20]]"
11a_203,"[[-3, -3]]"
11a_208,['No Dihedral Linking Number Exists']
11a_209,['No Dihedral Linking Number Exists']
11a_212,"[[-2, -2]]"
11a_214,"[[-4/3, -4/3]]"
11a_216,"[[-5/2, -5/2]]"
11a_219,"[[1, 1]]"
11a_223,"[[-3, -3]]"
11a_230,"[[-5, -5]]"
11a_231,"['No Dihedral Linking Number Exists', [1/2, 1/2], [7/5, 7/5], [0, 0]]"
11a_232,"[[7/3, 7/3]]"
11a_236,"[[-10/3, -10/3]]"
11a_237,['No Dihedral Linking Number Exists']
11a_239,"[[-5/2, -5/2]]"
11a_243,"[[-45/22, -45/22]]"
11a_244,"[[0, 0]]"
11a_245,"[[-7/2, -7/2]]"
11a_248,"[[-10/9, -10/9]]"
11a_249,"[[-5/3, -5/3], [-1, -1], [9/13, 9/13], [0, 0]]"
11a_258,"[[0, -1]]"
11a_260,"[[-1, -1]]"
11a_261,"[[0, 0]]"
11a_263,"[[-8/7, -8/7], [-10/3, -10/3], [-3/2, -1], 'No Dihedral Linking Number Exists']"
11a_264,"[[1, 1]]"
11a_271,"[[-1, -1]]"
11a_273,"[[1, 1]]"
11a_274,"[[-3/2, -3/2]]"
11a_275,"[[-1, -1]]"
11a_277,"[[0, -1], [-2, -2], [9/5, 9/5], [0, 0]]"
11a_278,"[[-1/2, -1/2]]"
11a_280,"[[-4/3, -4/3]]"
11a_283,"[[2, 2]]"
11a_286,"[[-1, -1]]"
11a_290,"[[2, 2]]"
11a_291,"[[0, 0], 'No Dihedral Linking Number Exists', [-3, -4], [-1, 1]]"
11a_292,"[[-4, -4]]"
11a_293,"[[-2/3, -2/3], [5/3, 5/3], [7/4, 7/4], [-2/3, -2/3]]"
11a_294,"[[0, 0]]"
11a_296,"[[11/7, 11/7]]"
11a_300,"[[1, 1]]"
11a_304,"[[-1, -1]]"
11a_305,"[[8/3, 8/3]]"
11a_306,"[[4/3, 4/3]]"
11a_309,"[[-5, -5]]"
11a_314,"[[1, 1], 'No Dihedral Linking Number Exists', [1, 1], [1, 1]]"
11a_318,"[[-1, -1]]"
11a_324,"[[5, 5]]"
11a_332,"[[5/2, 5/2], [1, 1], 'No Dihedral Linking Number Exists', [-2, -2]]"
11a_335,"[[-3/2, -3/2]]"
11a_338,"[[0, 0]]"
11a_340,"[[-17/13, -17/13]]"
11a_344,"[[-5, -5]]"
11a_346,"[[-3/5, -3/5]]"
11a_347,"[[-2, -4]]"
11a_351,"[[-2/3, -2/3]]"
11a_352,"[[0, 0], [-1, -1], [0, 0], [-4/3, -4/3]]"
11a_353,"[[-1/7, -1/7]]"
11a_354,"[[-4/3, -4/3]]"
11a_355,"[[-5, -6]]"
11a_360,"[[-2/3, -2/3]]"
11a_361,['No Dihedral Linking Number Exists']
11a_362,"[[0, 0]]"
11a_365,"[[-2/3, -2/3]]"
11a_366,"[[-2, -2], [-2/3, -2/3], 'No Dihedral Linking Number Exists', [-3, -3]]"
11n_1,['No Dihedral Linking Number Exists']
11n_2,"[[-3, -3]]"
11n_13,['No Dihedral Linking Number Exists']
11n_14,"[[2/7, 2/7]]"
11n_18,"[[-4/5, -4/5]]"
11n_28,"[[-2/3, -2/3]]"
11n_29,"[[-2/3, -2/3]]"
11n_30,"[[-2/3, -2/3]]"
11n_31,['No Dihedral Linking Number Exists']
11n_32,['No Dihedral Linking Number Exists']
11n_33,"[[-2, -2]]"
11n_38,"[[0, 0]]"
11n_62,"[[-4, -4]]"
11n_63,['No Dihedral Linking Number Exists']
11n_64,"[[5, 5]]"
11n_65,"[[-2, -2]]"
11n_66,['No Dihedral Linking Number Exists']
11n_67,['No Dihedral Linking Number Exists']
11n_68,"[[-1/2, -1/2]]"
11n_69,"[[2/3, 2/3]]"
11n_71,"[[-2/3, -2/3], [-1, -1], [-3/5, -3/5], [0, 0]]"
11n_72,"[[-1, -1], [0, 0], [-2, -2], [0, 0]]"
11n_73,"[[0, 0], [0, 0], [-1, -1], [2/3, 2/3]]"
11n_74,"[[-5/2, -3], [-2, -2], [-1, -2], [-1, -1]]"
11n_75,"[[1, 1], [0, 0], [0, 0], [-1, -1]]"
11n_76,"[[-6/5, -6/5], [2, 2], [-3/7, -3/7], [5/9, 5/9]]"
11n_77,"[[0, 0], [0, 0], [-2, -2], [-3/2, -3/2]]"
