Name,Dihedral Linking Numbers
4_1,[]
5_1,[]
7_4,[]
8_8,[]
8_9,[]
8_16,[]
8_18,[]
8_21,[]
9_2,[]
9_12,[]
9_23,[]
9_24,[]
9_31,[]
9_37,[]
9_39,[]
9_40,[]
9_49,[]
10_3,[]
10_10,[]
10_18,[]
10_20,[]
10_21,[]
10_24,[]
10_25,[]
10_33,[]
10_40,[]
10_56,[]
10_58,[]
10_59,[]
10_60,[]
10_62,[]
10_66,[]
10_81,[]
10_86,[]
10_100,[]
10_101,[]
10_103,[]
10_106,[]
10_109,[]
10_116,[]
10_120,[]
10_121,[]
10_122,[]
10_129,[]
10_132,[]
10_136,[]
10_137,[]
10_138,[]
10_142,[]
10_155,[]
10_156,[]
10_158,[]
10_161,[]
10_162,[]
10_164,[]
11a_3,[]
11a_5,[]
11a_6,[]
11a_7,[]
11a_9,[]
11a_16,[]
11a_19,[]
11a_21,[]
11a_25,[]
11a_29,[]
11a_31,[]
11a_33,[]
11a_41,[]
11a_43,[]
11a_49,[]
11a_51,[]
11a_60,[]
11a_62,[]
11a_67,[]
11a_76,[]
11a_82,[]
11a_99,[]
11a_104,[]
11a_112,[]
11a_124,[]
11a_125,[]
11a_126,[]
11a_132,[]
11a_140,[]
11a_148,[]
11a_150,[]
11a_157,[]
11a_160,[]
11a_168,[]
11a_170,[]
11a_173,[]
11a_175,[]
11a_183,[]
11a_186,[]
11a_190,[]
11a_193,[]
11a_198,[]
11a_200,[]
11a_207,[]
11a_208,[]
11a_213,[]
11a_220,[]
11a_223,[]
11a_238,[]
11a_239,[]
11a_241,[]
11a_245,[]
11a_250,[]
11a_258,[]
11a_264,[]
11a_274,[]
11a_277,[]
11a_280,[]
11a_281,[]
11a_288,[]
11a_289,[]
11a_297,[]
11a_305,[]
11a_306,[]
11a_317,[]
11a_318,[]
11a_325,[]
11a_329,[]
11a_331,[]
11a_333,[]
11a_335,[]
11a_339,[]
11a_348,[]
11a_349,[]
11a_350,[]
11a_351,[]
11a_352,[]
11a_354,[]
11a_355,[]
11a_363,[]
11a_364,[]
11n_9,[]
11n_10,[]
11n_11,[]
11n_13,[]
11n_14,[]
11n_15,[]
11n_19,[]
11n_22,[]
11n_37,[]
11n_39,[]
11n_45,[]
11n_50,[]
11n_56,[]
11n_58,[]
11n_66,[]
11n_69,[]
11n_76,[]
11n_78,[]
11n_79,[]
11n_80,[]
11n_84,[]
11n_85,[]
11n_92,[]
11n_100,[]
11n_103,[]
11n_112,[]
11n_113,[]
11n_117,[]
11n_121,[]
11n_127,[]
11n_132,[]
11n_133,[]
11n_135,[]
11n_138,[]
11n_144,[]
11n_148,[]
11n_150,[]
11n_157,[]
11n_158,[]
11n_162,[]
11n_164,[]
11n_165,[]
11n_168,[]
11n_169,[]
11n_171,[]
11n_173,[]
11n_175,[]
11n_178,[]
11n_180,[]
11n_181,[]
11n_185,[]
12a_0011,[]
12a_0025,[]
12a_0026,[]
