name,gauss_notation
5_2,"{1, -2, 3, -1, 4, -5, 2, -3, 5, -4}"
xq,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -3, 4, -5, 6, -7}"
7_7,"{1, -2, 3, -4, 5, -6, 4, -7, 2, -1, 7, -3, 6, -5}"
8_5,"{1, -2, 3, -4, 5, -1, 2, -3, 6, -7, 8, -5, 4, -6, 7, -8}"
8_16,"{-1, 2, -3, 4, -5, 1, -2, 6, -4, 7, -8, 5, -6, 3, -7, 8}"
9_4,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 5, -4, 3, -2, 1, -6, 7, -8, 9}"
9_12,"{-1, 2, -3, 4, -5, 6, -7, 3, -2, 8, -9, 7, -6, 5, -4, 1, -8, 9}"
9_27,"{-1, 2, -3, 4, -5, 6, -4, 7, -2, 8, -9, 3, -6, 5, -7, 1, -8, 9}"
9_41,"{1, -2, 3, -4, 5, -6, 2, -7, 8, -9, 4, -3, 7, -1, 6, -5, 9, -8}"
9_42,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, -7, 8, -9, 6, -5, 7, -8, 9}"
10_20,"{-1, 2, -3, 4, -5, 3, -2, 1, -6, 7, -8, 9, -10, 5, -4, 10, -7, 8, -9, 6}"
10_22,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 1, -2, 10, -8, 5, -6, 7, -4, 3, -10, 9}"
10_29,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -5, 4, -10, 3, -2, 10, -7, 8, -9, 6}"
10_35,"{1, -2, 3, -4, 2, -5, 6, -7, 8, -1, 9, -8, 7, -6, 5, -10, 4, -3, 10, -9}"
10_48,"{-1, 2, -3, 4, -5, 1, -2, 3, -6, 7, -8, 9, -4, 5, -10, 6, -7, 8, -9, 10}"
10_65,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -7, 8, -9, 10, -5, 4, -3, 6, -8, 9, -10}"
10_67,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -7, 6, -10, 2, -1, 10, -5, 4, -3, 8, -9}"
10_71,"{1, -2, 3, -1, 4, -5, 2, -3, 6, -7, 8, -4, 5, -8, 9, -10, 7, -6, 10, -9}"
10_74,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -10, 2, -1, 10, -3, 6, -5, 4, -9, 8, -7}"
10_77,"{1, -2, 3, -4, 5, -1, 2, -5, 6, -7, 8, -9, 10, -3, 4, -10, 9, -6, 7, -8}"
10_82,"{1, -2, 3, -4, 5, -6, 7, -8, 2, -9, 10, -1, 8, -3, 9, -10, 4, -5, 6, -7}"
10_90,"{-1, 2, -3, 4, -5, 6, -7, 8, -2, 3, -9, 10, -4, 1, -8, 9, -10, 7, -6, 5}"
10_95,"{-1, 2, -3, 4, -5, 6, -7, 8, -9, 10, -4, 7, -8, 1, -2, 9, -6, 5, -10, 3}"
10_104,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -4, 5, -10, 6, -2, 3, -7, 8, -9, 10}"
10_105,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -1, 2, -9, 6, -10, 4, -3, 8, -7, 10, -5}"
10_108,"{1, -2, 3, -4, 5, -6, 7, -8, 2, -3, 9, -5, 10, -1, 8, -7, 6, -9, 4, -10}"
10_111,"{1, -2, 3, -4, 5, -6, 7, -1, 2, -5, 8, -9, 10, -7, 6, -8, 4, -3, 9, -10}"
10_120,"{-1, 2, -3, 4, -5, 6, -7, 3, -2, 8, -6, 9, -10, 7, -8, 1, -4, 10, -9, 5}"
10_122,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 9, -5, 10, -8, 2, -7, 6, -9, 4, -10}"
10_138,"{1, -2, -3, 4, -5, 6, -4, 7, -8, 9, -7, 10, 2, -1, -9, 8, -10, 3, -6, 5}"
10_141,"{-1, 2, -3, 4, 5, -6, 7, -8, -4, 1, -2, 3, 9, -7, 8, -9, 10, -5, 6, -10}"
10_156,"{1, -2, 3, -4, 5, -6, 7, -3, -8, 9, 10, -1, 6, -5, -9, 8, 4, -7, 2, -10}"
10_157,"{-1, 2, 3, -4, 5, -6, -2, 7, -8, -3, 4, -9, -10, 1, -7, 8, 9, -5, 6, 10}"
10_160,"{1, -2, -3, 4, -5, 6, -7, 3, -8, 9, 10, -1, -6, 5, -9, 8, -4, 7, 2, -10}"
10_162,"{-1, 2, -3, -4, 5, 6, -7, 8, -2, 9, 4, -5, -10, 1, -8, 7, -6, 3, -9, 10}"
11a_14,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 4, -5, 6, -9, 10, -7, 8, -11, 9, -10, 11}"
11a_16,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 4, -5, 6, -9, 10, -11, 8, -7, 11, -10, 9}"
11a_34,"{-1, 2, -3, 1, -4, 5, -2, 3, -6, 7, -8, 9, -10, 4, -5, 6, -11, 8, -9, 10, -7, 11}"
11a_49,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 6, -7, 8, -5, 4, -9, 10, -11, 7, -8, 9, -10, 11}"
11a_66,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 7, -8, 6, -9, 10, -11, 4, -7, 8, -5, 9, -10, 11}"
11a_86,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 10, -5, 6, -7, 8, -11, 9, -10, 11}"
11a_89,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 10, -5, 6, -11, 8, -7, 11, -10, 9}"
11a_98,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 4, -9, 10, -11, 8, -7, 6, -5, 11, -10, 9}"
11a_119,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 8, -7, 4, -9, 10, -11, 6, -5, 11, -10, 9}"
11a_121,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 8, -9, 4, -7, 10, -11, 6, -5, 11, -10, 9}"
11a_125,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -10, 4, -7, 8, -11, 10, -5, 6, -9, 11}"
11a_138,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 9, -10, 6, -11, 4, -9, 8, -7, 10, -5, 11}"
11a_156,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 6, -7, 8, -9, 10, -11, 4, -5, 9, -10, 11}"
11a_158,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -10, 6, -7, 8, -11, 4, -5, 10, -9, 11}"
11a_163,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 3, -2, 9, -10, 6, -7, 8, -11, 4, -9, 10, -5, 11}"
11a_175,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -10, 4, -5, 6, -11, 8, -9, 11, -7, 10}"
11a_196,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 4, -7, 11, -9, 10, -5, 6, -11, 8}"
11a_203,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -10, 11, -9, 4, -5, 6, -7, 8, -11, 10}"
11a_205,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 10, -9, 4, -11, 6, -7, 8, -5, 11}"
11a_208,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 10, -11, 4, -9, 6, -7, 8, -5, 11}"
11a_215,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -10, 6, -11, 8, -9, 4, -5, 11, -7, 10}"
11a_216,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -2, 3, -10, 6, -7, 11, -9, 4, -5, 8, -11, 10}"
11a_228,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 3, -2, 10, -7, 11, -5, 4, -9, 8, -11, 6}"
11a_244,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 11, -2, 3, -7, 8, -11, 4, -5, 10, -9, 6}"
11a_251,"{-1, 2, -3, 4, -5, 1, -2, 3, -6, 7, -8, 5, -4, 9, -10, 6, -11, 8, -9, 10, -7, 11}"
11a_253,"{-1, 2, -3, 4, -5, 1, -2, 3, -6, 7, -8, 5, -4, 9, -7, 10, -11, 6, -9, 8, -10, 11}"
11a_256,"{-1, 2, -3, 4, -5, 1, -6, 3, -7, 8, -9, 5, -10, 11, -4, 9, -8, 7, -2, 6, -11, 10}"
11a_276,"{-1, 2, -3, 4, -5, 1, -6, 7, -4, 3, -8, 9, -2, 5, -10, 11, -7, 8, -9, 6, -11, 10}"
11a_279,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -2, 6, -9, 10, -11, 5, -4, 8, -7, 9, -10, 11}"
11a_280,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -2, 6, -9, 10, -11, 5, -4, 8, -7, 11, -10, 9}"
11a_283,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -2, 9, -10, 6, -11, 5, -4, 8, -9, 10, -7, 11}"
11a_285,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -9, 10, -2, 6, -11, 5, -10, 9, -4, 8, -7, 11}"
11a_286,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -2, 9, -10, 8, -4, 5, -11, 6, -9, 10, -7, 11}"
11a_297,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -9, 10, -2, 11, -7, 5, -10, 9, -4, 8, -11, 6}"
11a_302,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 3, -4, 9, -10, 6, -7, 11, -9, 5, -2, 8, -11, 10}"
11a_306,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 3, -4, 5, -2, 6, -11, 8, -9, 10, -7, 11}"
11a_312,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 3, -2, 6, -11, 5, -4, 8, -9, 10, -7, 11}"
11a_313,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 3, -2, 6, -11, 5, -4, 10, -9, 8, -7, 11}"
