Name,Dihedral Linking Numbers
3_1,[]
6_1,[]
7_4,[]
7_7,[]
8_5,"[[['x', 'x'], ['x', 'x']]]"
8_10,[]
8_11,[]
8_15,[]
8_18,[]
8_19,[]
8_20,"[[['x', 'x'], ['x', 'x']]]"
8_21,"[[['x', 'x'], ['x', 'x']]]"
9_1,[]
9_2,[]
9_4,[]
9_6,[]
9_10,[]
9_11,[]
9_15,[]
9_16,[]
9_17,[]
9_23,[]
9_24,[]
9_28,[]
9_29,[]
9_34,"[[['x', 'x'], ['x', 'x']]]"
9_35,[]
9_37,[]
9_38,[]
9_40,[]
9_46,[]
9_47,"[[['x', 'x'], ['x', 'x']]]"
9_48,[]
10_4,[]
10_5,[]
10_9,[]
10_10,[]
10_14,[]
10_19,[]
10_21,[]
10_29,[]
10_31,[]
10_32,[]
10_36,[]
10_40,[]
10_42,[]
10_59,"[[['x', 'x'], ['x', 'x']]]"
10_61,[]
10_62,[]
10_63,[]
10_64,"[[['x', 'x'], ['x', 'x']]]"
10_65,[]
10_66,[]
10_67,[]
10_68,[]
10_69,[]
10_74,[]
10_75,[]
10_76,[]
10_77,[]
10_78,[]
10_82,[]
10_84,[]
10_85,[]
10_87,"[[['x', 'x'], ['x', 'x']]]"
10_89,[]
10_96,[]
10_97,[]
10_98,"[[['x', 'x'], ['x', 'x']]]"
10_99,[]
10_103,[]
10_106,"[[['x', 'x'], ['x', 'x']]]"
10_107,[]
10_108,[]
10_112,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
10_113,[]
10_114,[]
10_120,[]
10_122,[]
10_136,[]
10_139,[]
10_140,[]
10_141,[]
10_142,[]
10_143,[]
10_144,[]
10_145,[]
10_146,[]
10_147,[]
10_158,[]
10_159,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
10_160,[]
10_163,[]
10_164,"[[[-2/3, -2/3], [-2/3, 1/3]], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
10_165,"[[['x', 'x'], ['x', 'x']]]"
11a_6,"[[['x', 'x'], ['x', 'x']]]"
11a_8,[]
11a_16,[]
11a_17,[]
11a_21,[]
11a_37,[]
11a_38,[]
11a_43,[]
11a_44,[]
11a_45,[]
11a_46,[]
11a_47,[]
11a_49,[]
11a_57,[]
11a_58,[]
11a_63,[]
11a_69,[]
11a_71,[]
11a_72,"[[[0, 0], [0, 0]]]"
11a_73,[]
11a_78,[]
11a_90,[]
11a_91,[]
11a_93,[]
11a_99,[]
11a_100,[]
11a_102,[]
11a_103,[]
11a_106,[]
11a_107,[]
11a_108,[]
11a_109,"[[['x', 'x'], ['x', 'x']]]"
11a_117,[]
11a_118,[]
11a_123,[]
11a_128,[]
11a_130,[]
11a_132,[]
11a_134,[]
11a_135,"[[['x', 'x'], ['x', 'x']]]"
11a_137,[]
11a_139,[]
11a_146,[]
11a_152,[]
11a_155,[]
11a_157,[]
11a_159,[]
11a_161,[]
11a_165,[]
11a_171,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
11a_173,[]
11a_175,"[[['x', 'x'], ['x', 'x']]]"
11a_176,[]
11a_178,"[[[0, -2], [-2, -1]]]"
11a_179,[]
11a_181,[]
11a_184,[]
11a_187,"[[['x', 'x'], ['x', 'x']]]"
11a_194,[]
11a_196,[]
11a_199,[]
11a_201,[]
11a_202,[]
11a_203,[]
11a_208,[]
11a_209,[]
11a_212,[]
11a_214,[]
11a_216,[]
11a_219,[]
11a_223,[]
11a_230,[]
11a_231,[]
11a_232,[]
11a_236,[]
11a_237,[]
11a_239,"[[['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']], [['x', 'x'], ['x', 'x']]]"
11a_243,[]
11a_244,[]
11a_245,[]
11a_248,"[[['x', 'x'], ['x', 'x']]]"
11a_249,"[[['x', 'x'], ['x', 'x']]]"
11a_258,[]
11a_260,[]
11a_261,[]
11a_263,[]
11a_264,[]
11a_271,"[[['x', 'x'], ['x', 'x']]]"
11a_273,[]
11a_274,[]
11a_275,[]
11a_277,[]
11a_278,[]
11a_280,[]
11a_283,[]
11a_286,[]
11a_290,"[[[0, 2], [2, 1]]]"
11a_291,[]
11a_292,[]
11a_293,[]
11a_294,[]
11a_296,"[[['x', 'x'], ['x', 'x']]]"
11a_300,[]
11a_304,[]
11a_305,[]
11a_306,[]
11a_309,[]
11a_314,[]
11a_318,[]
11a_324,"[[[0, 2], [2, 3]]]"
11a_332,[]
11a_335,[]
11a_338,[]
11a_340,[]
11a_344,[]
11a_346,"[[['x', 'x'], ['x', 'x']]]"
11a_347,"[[['x', 'x'], ['x', 'x']]]"
11a_351,"[[['x', 'x'], ['x', 'x']]]"
11a_352,"[[['x', 'x'], ['x', 'x']]]"
11a_353,[]
11a_354,[]
11a_355,[]
11a_360,[]
11a_361,[]
11a_362,[]
11a_365,[]
11a_366,[]
11n_1,"[[['x', 'x'], ['x', 'x']]]"
11n_2,[]
11n_13,[]
11n_14,[]
11n_18,[]
11n_28,[]
11n_29,[]
11n_30,"[[['x', 'x'], ['x', 'x']]]"
11n_31,[]
11n_32,[]
11n_33,[]
11n_38,[]
11n_62,[]
11n_63,[]
11n_64,"[[['x', 'x'], ['x', 'x']]]"
11n_65,[]
11n_66,[]
11n_67,[]
11n_68,[]
11n_69,"[[[0, -2], [-2, -2]]]"
11n_71,[]
11n_72,[]
11n_73,[]
11n_74,[]
11n_75,[]
11n_76,[]
11n_77,[]
11n_78,[]
11n_79,[]
11n_80,[]
11n_81,[]
11n_85,[]
11n_86,"[[['x', 'x'], ['x', 'x']]]"
11n_87,[]
11n_92,[]
11n_94,[]
11n_95,[]
