name,braid_notation
11a_32,"{-1,-1,2,-1,2,-3,2,4,3,3,3,4}"
11a_54,"{-1,-1,-2,1,-2,3,-2,3,-2,-4,3,-4}"
11a_172,"{1,1,-2,1,1,3,-2,-1,-4,3,-2,3,3,-4}"
11a_217,"{-1,-1,2,-1,-3,2,-1,-1,2,2,-3}"
11a_268,"{-1,2,-1,2,-3,2,-1,2,2,2,-3}"
12a_0031,"{-1,2,-1,2,-3,4,5,2,2,-3,-4,5,4}"
12a_0178,"{-1,2,3,-1,3,4,-5,2,-3,4,-5,-5,-5}"
12a_0205,"{-1,2,-1,2,2,2,3,3,3,3,2,2,-3}"
12a_0278,"{1,-2,-2,-2,-2,3,-4,1,1,-2,3,-4}"
12a_0344,"{1,-2,1,2,3,3,4,2,4,2,4,-3,4,4}"
12a_0595,"{-1,2,3,-4,5,-1,3,5,-2,-4,5,3,-2}"
12a_0676,"{1,-2,1,2,3,-4,3,3,-4,3,2,2,-3,-4}"
12a_0713,"{-1,-1,-1,2,2,3,3,2,2,2,-1,2,-3}"
12a_0761,"{1,-2,1,2,-3,-4,3,-4,-4,-4,-3,2,2,-3}"
12a_0969,"{-1,2,3,-1,-2,3,2,-4,-5,2,2,3,4,-5,-4}"
12a_1032,"{-1,2,-3,-4,3,-4,-3,2,-3,1,-3,1,-3,2}"
12a_1256,"{1,-2,-3,1,-3,-3,2,-3,-3,2,2,-3,2}"
12n_0652,"{1,1,2,2,3,-1,2,-1,-2,-2,3,3,-2}"
12n_0786,"{-1,2,-3,-3,2,1,1,2,-3,4,2,-3,4,3}"
12n_0857,"{1,-2,1,2,-3,4,-3,-2,4,-3,-3,-2,4,-3}"
12n_0878,"{-1,-2,-3,-3,-4,-2,3,1,1,-2,3,4,4,3,2,2}"
