Name,Color List
3_1,"[[2, 3, 1, 2]]"
6_1,"[[1, 3, 2, 3, 1, 2]]"
7_4,"[[2, 3, 1, 3, 2, 1, 1, 2]]"
7_7,"[[2, 1, 3, 2, 3, 1, 1, 2]]"
8_5,"[[3, 1, 1, 2, 3, 1, 1, 2]]"
8_10,"[[2, 3, 1, 2, 2, 3, 1, 2]]"
8_11,"[[2, 1, 3, 2, 3, 1, 1, 2]]"
8_15,"[[3, 2, 2, 1, 3, 1, 2, 2]]"
8_18,"[[3, 1, 3, 2, 2, 1, 2, 3], [1, 3, 3, 2, 3, 1, 1, 2], [3, 3, 2, 3, 1, 1, 2, 1], [3, 1, 2, 2, 3, 2, 1, 1]]"
8_19,"[[2, 3, 1, 3, 2, 2, 1, 2]]"
8_20,"[[3, 2, 2, 1, 3, 1, 2, 2]]"
8_21,"[[3, 2, 2, 1, 3, 1, 2, 2]]"
9_1,"[[2, 3, 1, 2, 3, 1, 2, 3, 1, 2]]"
9_2,"[[2, 3, 1, 2, 1, 3, 2, 3, 1, 2]]"
9_4,"[[2, 1, 3, 2, 3, 1, 2, 3, 1, 2]]"
9_6,"[[2, 3, 2, 1, 2, 3, 1, 3, 1, 2]]"
9_10,"[[2, 3, 3, 2, 2, 1, 3, 1, 2, 2]]"
9_11,"[[2, 3, 1, 2, 1, 3, 2, 3, 1, 2]]"
9_15,"[[2, 3, 1, 3, 2, 1, 3, 2, 1, 2]]"
9_16,"[[2, 3, 3, 3, 1, 2, 3, 3, 1, 2]]"
9_17,"[[2, 2, 3, 2, 2, 1, 3, 1, 2, 2]]"
9_23,"[[2, 3, 2, 1, 3, 1, 3, 2, 1, 2]]"
9_24,"[[2, 2, 3, 1, 2, 2, 2, 3, 1, 2]]"
9_28,"[[2, 3, 1, 3, 2, 2, 1, 2, 2, 2]]"
9_29,"[[2, 2, 3, 1, 1, 3, 2, 2, 1, 2]]"
9_34,"[[2, 2, 3, 3, 1, 3, 2, 2, 1, 2]]"
9_35,"[[3, 3, 3, 2, 1, 3, 3, 1, 2, 3], [2, 3, 1, 1, 3, 2, 1, 1, 1, 2], [1, 2, 3, 2, 3, 1, 3, 1, 2, 1], [1, 2, 3, 1, 1, 1, 3, 2, 1, 1]]"
9_37,"[[3, 1, 1, 3, 2, 1, 1, 1, 2, 3], [2, 2, 3, 2, 2, 2, 1, 3, 1, 2], [1, 2, 3, 1, 3, 2, 1, 3, 2, 1], [1, 3, 1, 1, 2, 3, 2, 1, 1, 1]]"
9_38,"[[2, 3, 3, 1, 3, 3, 2, 1, 1, 2]]"
9_40,"[[2, 3, 1, 1, 2, 3, 3, 1, 2, 2]]"
9_46,"[[3, 3, 2, 1, 3, 3, 3, 1, 2, 3], [2, 1, 1, 3, 2, 3, 1, 1, 1, 2], [1, 3, 2, 3, 1, 2, 3, 1, 2, 1], [1, 3, 1, 1, 1, 2, 3, 2, 1, 1]]"
9_47,"[[3, 1, 1, 3, 1, 2, 2, 1, 2, 3], [2, 1, 3, 1, 2, 2, 3, 1, 1, 2], [1, 1, 3, 3, 2, 3, 1, 1, 2, 1], [1, 2, 1, 3, 3, 2, 3, 2, 1, 1]]"
9_48,"[[3, 3, 2, 1, 3, 3, 3, 1, 2, 3], [2, 1, 1, 3, 2, 3, 1, 1, 1, 2], [1, 3, 2, 3, 1, 2, 3, 1, 2, 1], [1, 3, 1, 1, 1, 2, 3, 2, 1, 1]]"
10_4,"[[3, 1, 2, 1, 3, 2, 2, 3, 1, 2]]"
10_5,"[[1, 3, 2, 3, 1, 3, 2, 1, 2, 2]]"
10_9,"[[3, 1, 3, 2, 3, 1, 2, 1, 1, 2]]"
10_10,"[[2, 3, 2, 1, 3, 1, 2, 3, 1, 2]]"
10_14,"[[3, 1, 2, 3, 1, 3, 2, 1, 1, 2]]"
10_19,"[[1, 3, 1, 3, 2, 3, 2, 1, 2, 2]]"
10_21,"[[2, 1, 1, 1, 3, 2, 3, 1, 1, 2]]"
10_29,"[[3, 2, 1, 3, 3, 1, 2, 3, 1, 2]]"
10_31,"[[3, 2, 3, 1, 2, 1, 3, 1, 2, 2]]"
10_32,"[[3, 1, 2, 2, 3, 1, 2, 3, 1, 2]]"
10_36,"[[2, 3, 1, 2, 3, 1, 3, 2, 1, 2]]"
10_40,"[[1, 2, 3, 3, 2, 3, 1, 3, 1, 2]]"
10_42,"[[2, 3, 1, 3, 1, 2, 3, 2, 1, 2]]"
10_59,"[[3, 2, 1, 2, 3, 3, 1, 3, 1, 2]]"
10_61,"[[3, 1, 1, 1, 2, 3, 1, 1, 1, 2]]"
10_62,"[[2, 2, 3, 1, 2, 2, 2, 3, 1, 2]]"
10_63,"[[3, 2, 2, 2, 1, 3, 1, 2, 2, 2]]"
10_64,"[[2, 2, 3, 1, 2, 2, 2, 3, 1, 2]]"
10_65,"[[3, 1, 1, 1, 2, 3, 1, 1, 1, 2]]"
10_66,"[[3, 3, 3, 1, 3, 3, 3, 2, 1, 2]]"
10_67,"[[2, 3, 2, 2, 2, 2, 1, 3, 1, 2]]"
10_68,"[[2, 2, 1, 3, 2, 2, 2, 3, 1, 2]]"
10_69,"[[2, 2, 3, 2, 2, 2, 1, 3, 1, 2]]"
10_74,"[[1, 1, 3, 2, 1, 1, 1, 1, 2, 3], [3, 1, 1, 1, 3, 2, 1, 1, 1, 2], [3, 1, 3, 2, 3, 2, 1, 1, 2, 1], [1, 2, 3, 1, 1, 3, 2, 2, 1, 1]]"
10_75,"[[3, 2, 1, 3, 3, 3, 1, 2, 2, 3], [1, 1, 3, 2, 3, 1, 1, 1, 1, 2], [3, 2, 3, 1, 2, 3, 1, 2, 2, 1], [3, 1, 1, 1, 2, 3, 2, 1, 1, 1]]"
10_76,"[[3, 3, 3, 1, 1, 3, 3, 2, 1, 2]]"
10_77,"[[3, 1, 1, 2, 3, 1, 1, 1, 1, 2]]"
10_78,"[[3, 2, 2, 1, 3, 1, 2, 2, 2, 2]]"
10_82,"[[3, 2, 3, 1, 1, 2, 1, 3, 1, 2]]"
10_84,"[[3, 2, 1, 3, 1, 3, 2, 1, 2, 2]]"
10_85,"[[3, 2, 3, 1, 3, 3, 1, 2, 1, 2]]"
10_87,"[[3, 2, 2, 1, 2, 3, 1, 3, 1, 2]]"
10_89,"[[1, 2, 3, 1, 3, 2, 3, 3, 1, 2]]"
10_96,"[[1, 1, 3, 2, 2, 3, 1, 1, 1, 2]]"
10_97,"[[2, 1, 3, 3, 3, 2, 3, 3, 1, 2]]"
10_98,"[[2, 3, 3, 1, 3, 1, 2, 1, 2, 3], [1, 1, 3, 3, 2, 3, 3, 1, 1, 2], [2, 3, 2, 3, 1, 3, 1, 1, 2, 1], [1, 3, 2, 1, 1, 1, 3, 2, 1, 1]]"
10_99,"[[2, 2, 1, 2, 1, 3, 1, 3, 2, 3], [3, 2, 3, 1, 3, 1, 1, 2, 1, 2], [1, 3, 3, 2, 3, 3, 1, 1, 2, 1], [3, 2, 1, 1, 1, 3, 2, 1, 1, 1]]"
10_103,"[[3, 1, 3, 2, 2, 3, 1, 2, 1, 2]]"
10_106,"[[3, 1, 3, 2, 2, 3, 1, 2, 1, 2]]"
10_107,"[[3, 2, 1, 3, 2, 1, 3, 3, 1, 2]]"
10_108,"[[3, 2, 2, 3, 1, 3, 1, 2, 1, 2]]"
10_112,"[[2, 3, 2, 2, 2, 1, 3, 1, 1, 2]]"
10_113,"[[3, 1, 3, 3, 2, 2, 1, 2, 2, 2]]"
10_114,"[[1, 1, 3, 3, 2, 3, 3, 3, 1, 2]]"
10_120,"[[2, 3, 3, 1, 3, 3, 2, 2, 1, 2]]"
10_122,"[[2, 3, 1, 1, 3, 3, 2, 1, 1, 2]]"
10_136,"[[1, 3, 2, 3, 2, 1, 1, 3, 1, 2]]"
10_139,"[[2, 2, 3, 2, 2, 2, 1, 3, 1, 2]]"
10_140,"[[3, 1, 2, 2, 2, 3, 1, 2, 2, 2]]"
10_141,"[[3, 3, 3, 1, 3, 3, 3, 2, 1, 2]]"
10_142,"[[3, 1, 3, 2, 2, 2, 1, 2, 2, 2]]"
10_143,"[[3, 3, 3, 1, 3, 3, 3, 2, 1, 2]]"
10_144,"[[3, 2, 2, 2, 1, 3, 1, 2, 2, 2]]"
10_145,"[[1, 3, 2, 2, 2, 2, 2, 3, 1, 2]]"
10_146,"[[2, 2, 1, 3, 2, 3, 1, 2, 2, 2]]"
10_147,"[[3, 1, 3, 3, 2, 2, 1, 2, 2, 2]]"
10_158,"[[2, 3, 1, 2, 2, 3, 2, 3, 1, 2]]"
10_159,"[[2, 3, 2, 2, 1, 3, 1, 1, 2, 2]]"
10_160,"[[1, 3, 2, 3, 1, 3, 2, 1, 2, 2]]"
10_163,"[[1, 1, 3, 3, 3, 2, 3, 3, 1, 2]]"
10_164,"[[3, 3, 2, 2, 1, 3, 3, 1, 1, 2]]"
10_165,"[[3, 3, 1, 3, 3, 1, 2, 1, 1, 2]]"
11a_6,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
11a_8,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
11a_16,"[[2, 3, 1, 1, 2, 3, 1, 1, 3, 2, 1, 2]]"
11a_17,"[[2, 1, 3, 3, 2, 3, 3, 2, 1, 3, 1, 2]]"
11a_21,"[[2, 3, 1, 1, 2, 1, 1, 3, 2, 3, 1, 2]]"
11a_37,"[[2, 3, 1, 1, 2, 3, 2, 1, 1, 3, 1, 2]]"
11a_38,"[[2, 2, 2, 2, 2, 1, 3, 2, 2, 3, 1, 2]]"
