Name,Color List
3_1,"[[2, 3, 1, 2]]"
6_1,"[[3, 2, 1, 2, 3, 1]]"
7_4,"[[3, 2, 1, 2, 3, 1, 1, 3]]"
7_7,"[[2, 1, 3, 2, 3, 1, 1, 2]]"
8_5,"[[2, 3, 3, 1, 2, 3, 3, 1]]"
8_10,"[[1, 2, 3, 1, 1, 2, 3, 1]]"
8_11,"[[1, 3, 2, 1, 2, 3, 3, 1]]"
8_15,"[[2, 1, 1, 3, 2, 3, 1, 1]]"
8_18,"[[3, 2, 2, 1, 2, 3, 3, 1], [2, 2, 1, 2, 3, 3, 1, 3], [2, 1, 3, 3, 2, 3, 1, 1], [2, 3, 2, 1, 1, 3, 1, 2]]"
8_19,"[[1, 2, 3, 2, 1, 1, 3, 1]]"
8_20,"[[2, 1, 1, 3, 2, 3, 1, 1]]"
8_21,"[[2, 1, 1, 3, 2, 3, 1, 1]]"
9_1,"[[2, 3, 1, 2, 3, 1, 2, 3, 1, 2]]"
9_2,"[[2, 3, 1, 2, 1, 3, 2, 3, 1, 2]]"
9_4,"[[2, 1, 3, 2, 3, 1, 2, 3, 1, 2]]"
9_6,"[[2, 3, 2, 1, 2, 3, 1, 3, 1, 2]]"
9_10,"[[1, 2, 2, 1, 1, 3, 2, 3, 1, 1]]"
9_11,"[[2, 3, 1, 2, 1, 3, 2, 3, 1, 2]]"
9_15,"[[3, 2, 1, 2, 3, 1, 2, 3, 1, 3]]"
9_16,"[[2, 3, 3, 3, 1, 2, 3, 3, 1, 2]]"
9_17,"[[1, 1, 2, 1, 1, 3, 2, 3, 1, 1]]"
9_23,"[[3, 2, 3, 1, 2, 1, 2, 3, 1, 3]]"
9_24,"[[2, 2, 3, 1, 2, 2, 2, 3, 1, 2]]"
9_28,"[[1, 2, 3, 2, 1, 1, 3, 1, 1, 1]]"
9_29,"[[3, 3, 2, 1, 1, 2, 3, 3, 1, 3]]"
9_34,"[[3, 3, 2, 2, 1, 2, 3, 3, 1, 3]]"
9_35,"[[3, 1, 2, 1, 2, 3, 2, 3, 1, 3], [3, 1, 2, 3, 3, 3, 2, 1, 3, 3], [3, 2, 1, 1, 2, 3, 1, 1, 1, 3], [3, 3, 3, 2, 1, 3, 3, 1, 2, 3]]"
9_37,"[[2, 3, 3, 2, 1, 3, 3, 3, 1, 2], [2, 2, 1, 2, 2, 2, 3, 1, 3, 2], [1, 2, 1, 1, 3, 2, 3, 1, 1, 1], [3, 2, 1, 3, 1, 2, 3, 1, 2, 3]]"
9_38,"[[3, 2, 2, 1, 2, 2, 3, 1, 1, 3]]"
9_40,"[[1, 2, 3, 3, 1, 2, 2, 3, 1, 1]]"
9_46,"[[1, 2, 1, 1, 1, 3, 2, 3, 1, 1], [1, 2, 3, 2, 1, 3, 2, 1, 3, 1], [2, 1, 1, 3, 2, 3, 1, 1, 1, 2], [3, 3, 2, 1, 3, 3, 3, 1, 2, 3]]"
9_47,"[[3, 3, 2, 2, 1, 2, 3, 3, 1, 3], [2, 1, 1, 2, 1, 3, 3, 1, 3, 2], [2, 1, 3, 1, 2, 2, 3, 1, 1, 2], [2, 1, 2, 3, 3, 1, 3, 1, 2, 2]]"
9_48,"[[1, 2, 1, 1, 1, 3, 2, 3, 1, 1], [1, 2, 3, 2, 1, 3, 2, 1, 3, 1], [2, 1, 1, 3, 2, 3, 1, 1, 1, 2], [3, 3, 2, 1, 3, 3, 3, 1, 2, 3]]"
10_4,"[[2, 3, 1, 3, 2, 1, 1, 2, 3, 1]]"
10_5,"[[3, 2, 1, 2, 3, 2, 1, 3, 1, 1]]"
10_9,"[[2, 3, 2, 1, 2, 3, 1, 3, 3, 1]]"
10_10,"[[1, 2, 1, 3, 2, 3, 1, 2, 3, 1]]"
10_14,"[[2, 3, 1, 2, 3, 2, 1, 3, 3, 1]]"
10_19,"[[3, 2, 3, 2, 1, 2, 1, 3, 1, 1]]"
10_21,"[[1, 3, 3, 3, 2, 1, 2, 3, 3, 1]]"
10_29,"[[2, 1, 3, 2, 2, 3, 1, 2, 3, 1]]"
10_31,"[[2, 1, 2, 3, 1, 3, 2, 3, 1, 1]]"
10_32,"[[2, 3, 1, 1, 2, 3, 1, 2, 3, 1]]"
10_36,"[[1, 2, 3, 1, 2, 3, 2, 1, 3, 1]]"
10_40,"[[3, 1, 2, 2, 1, 2, 3, 2, 3, 1]]"
10_42,"[[1, 2, 3, 2, 3, 1, 2, 1, 3, 1]]"
10_59,"[[2, 1, 3, 1, 2, 2, 3, 2, 3, 1]]"
10_61,"[[2, 3, 3, 3, 1, 2, 3, 3, 3, 1]]"
10_62,"[[1, 1, 2, 3, 1, 1, 1, 2, 3, 1]]"
10_63,"[[2, 1, 1, 1, 3, 2, 3, 1, 1, 1]]"
10_64,"[[1, 1, 2, 3, 1, 1, 1, 2, 3, 1]]"
10_65,"[[2, 3, 3, 3, 1, 2, 3, 3, 3, 1]]"
10_66,"[[2, 2, 2, 3, 2, 2, 2, 1, 3, 1]]"
10_67,"[[1, 2, 1, 1, 1, 1, 3, 2, 3, 1]]"
10_68,"[[1, 1, 3, 2, 1, 1, 1, 2, 3, 1]]"
10_69,"[[1, 1, 2, 1, 1, 1, 3, 2, 3, 1]]"
10_74,"[[2, 3, 3, 3, 2, 1, 3, 3, 3, 1], [2, 3, 2, 1, 2, 1, 3, 3, 1, 3], [1, 3, 2, 1, 1, 2, 3, 3, 1, 1], [3, 3, 2, 1, 3, 3, 3, 3, 1, 2]]"
10_75,"[[3, 3, 2, 1, 2, 3, 3, 3, 3, 1], [2, 1, 2, 3, 1, 2, 3, 1, 1, 3], [2, 1, 1, 1, 3, 2, 3, 1, 1, 1], [2, 1, 3, 2, 2, 2, 3, 1, 1, 2]]"
10_76,"[[2, 2, 2, 3, 3, 2, 2, 1, 3, 1]]"
10_77,"[[2, 3, 3, 1, 2, 3, 3, 3, 3, 1]]"
10_78,"[[2, 1, 1, 3, 2, 3, 1, 1, 1, 1]]"
10_82,"[[2, 1, 2, 3, 3, 1, 3, 2, 3, 1]]"
10_84,"[[2, 1, 3, 2, 3, 2, 1, 3, 1, 1]]"
10_85,"[[2, 1, 2, 3, 2, 2, 3, 1, 3, 1]]"
10_87,"[[2, 1, 1, 3, 1, 2, 3, 2, 3, 1]]"
10_89,"[[3, 1, 2, 3, 2, 1, 2, 2, 3, 1]]"
10_96,"[[3, 3, 2, 1, 1, 2, 3, 3, 3, 1]]"
10_97,"[[1, 3, 2, 2, 2, 1, 2, 2, 3, 1]]"
10_98,"[[3, 3, 2, 2, 1, 2, 2, 3, 3, 1], [1, 2, 1, 2, 3, 2, 3, 3, 1, 3], [1, 2, 3, 1, 1, 1, 2, 3, 1, 1], [1, 2, 2, 3, 2, 3, 1, 3, 1, 2]]"
10_99,"[[2, 1, 2, 3, 2, 3, 3, 1, 3, 1], [3, 2, 2, 1, 2, 2, 3, 3, 1, 3], [2, 3, 1, 1, 1, 2, 3, 1, 1, 1], [1, 1, 3, 1, 3, 2, 3, 2, 1, 2]]"
10_103,"[[2, 3, 2, 1, 1, 2, 3, 1, 3, 1]]"
10_106,"[[2, 3, 2, 1, 1, 2, 3, 1, 3, 1]]"
10_107,"[[2, 1, 3, 2, 1, 3, 2, 2, 3, 1]]"
10_108,"[[2, 1, 1, 2, 3, 2, 3, 1, 3, 1]]"
10_112,"[[1, 2, 1, 1, 1, 3, 2, 3, 3, 1]]"
10_113,"[[2, 3, 2, 2, 1, 1, 3, 1, 1, 1]]"
