Name,Color List
3_1,"[[2, 3, 1, 2]]"
6_1,"[[2, 1, 3, 2, 1, 3, 1, 2]]"
7_4,"[[2, 1, 3, 3, 2, 1, 3, 3, 1, 2]]"
7_7,"[[2, 3, 3, 2, 1, 3, 1, 2]]"
8_5,"[[2, 3, 3, 1, 2, 3, 3, 1]]"
8_10,"[[1, 2, 3, 2, 1, 1, 3, 1]]"
8_11,"[[2, 1, 3, 3, 2, 1, 3, 3, 1, 2]]"
8_15,"[[2, 3, 1, 1, 2, 3, 1, 1, 1, 2]]"
8_18,"[[3, 2, 2, 1, 2, 3, 3, 1], [2, 2, 1, 2, 3, 3, 1, 3], [2, 1, 3, 3, 2, 3, 1, 1], [2, 3, 2, 1, 1, 3, 1, 2]]"
8_19,"[[2, 3, 3, 1, 2, 3, 3, 1]]"
8_20,"[[2, 1, 1, 3, 2, 3, 1, 1]]"
8_21,"[[1, 2, 3, 1, 1, 2, 3, 1]]"
9_1,"[[2, 3, 1, 2, 3, 1, 2, 3, 1, 2]]"
9_2,"[[2, 3, 1, 2, 1, 3, 1, 2, 2, 2, 3, 1]]"
9_4,"[[2, 1, 3, 3, 2, 1, 3, 2, 1, 3, 1, 2]]"
9_6,"[[2, 3, 1, 2, 2, 3, 1, 2, 3, 1]]"
9_10,"[[2, 1, 3, 3, 3, 2, 1, 3, 3, 3, 1, 2]]"
9_11,"[[2, 3, 1, 3, 2, 1, 2, 3, 1, 2]]"
9_15,"[[1, 2, 3, 2, 1, 3, 1, 2, 3, 1]]"
9_16,"[[1, 2, 3, 2, 1, 1, 3, 2, 3, 1]]"
9_17,"[[2, 3, 3, 3, 2, 1, 3, 3, 1, 2]]"
9_23,"[[2, 3, 1, 2, 3, 1, 2, 2, 3, 3, 1, 2]]"
9_24,"[[2, 3, 2, 1, 1, 3, 1, 1, 1, 2]]"
9_28,"[[2, 3, 3, 1, 1, 2, 3, 3, 1, 2]]"
9_29,"[[2, 2, 3, 2, 2, 1, 3, 3, 1, 2]]"
9_34,"[[2, 2, 3, 2, 1, 1, 3, 1, 1, 2]]"
9_35,"[[2, 1, 3, 3, 2, 1, 3, 3, 3, 1, 3, 3, 3, 1], [3, 3, 3, 3, 2, 1, 3, 2, 1, 3, 3, 3, 1, 3], [2, 1, 3, 3, 1, 2, 3, 2, 1, 1, 3, 3, 1, 1], [1, 2, 3, 3, 3, 3, 3, 2, 1, 2, 3, 3, 1, 2]]"
9_37,"[[2, 1, 3, 3, 2, 2, 3, 2, 1, 3, 3, 1], [2, 1, 3, 2, 3, 1, 1, 2, 1, 3, 1, 3], [1, 2, 3, 2, 2, 3, 1, 1, 2, 3, 1, 1], [3, 3, 3, 2, 1, 2, 1, 3, 3, 3, 1, 2]]"
9_38,"[[3, 1, 2, 3, 1, 2, 2, 2, 2, 3, 1, 3]]"
9_40,"[[2, 2, 3, 1, 1, 2, 3, 3, 1, 2]]"
9_46,"[[2, 1, 2, 3, 3, 2, 3, 3, 1, 2], [3, 1, 1, 2, 1, 2, 3, 1, 3, 3], [2, 2, 3, 2, 1, 1, 3, 1, 1, 2], [1, 3, 2, 2, 1, 3, 3, 1, 2, 1]]"
9_47,"[[3, 2, 2, 1, 2, 1, 3, 3, 1, 3], [2, 3, 1, 1, 2, 3, 3, 1, 3, 2], [2, 2, 3, 2, 1, 1, 3, 1, 1, 2], [2, 1, 2, 3, 3, 2, 3, 1, 2, 2]]"
9_48,"[[2, 1, 2, 1, 1, 2, 3, 2, 3, 3, 1, 2], [3, 1, 2, 3, 2, 1, 2, 3, 3, 1, 3, 3], [2, 2, 1, 1, 3, 3, 2, 2, 3, 1, 1, 2], [1, 3, 3, 2, 1, 2, 2, 1, 3, 1, 2, 1]]"
10_4,"[[2, 1, 3, 1, 2, 1, 3, 2, 2, 2, 3, 1]]"
10_5,"[[2, 1, 3, 2, 2, 3, 2, 1, 3, 1]]"
10_9,"[[3, 2, 1, 1, 2, 1, 3, 2, 3, 1]]"
10_10,"[[2, 3, 2, 2, 1, 3, 1, 1, 3, 2, 3, 1]]"
10_14,"[[2, 1, 3, 3, 2, 1, 3, 2, 1, 3, 1, 2]]"
10_19,"[[2, 1, 3, 3, 2, 1, 3, 2, 3, 3, 1, 2]]"
10_21,"[[2, 1, 3, 3, 3, 2, 1, 3, 3, 3, 1, 2]]"
10_29,"[[1, 3, 2, 1, 3, 2, 1, 2, 3, 1]]"
10_31,"[[2, 3, 2, 2, 1, 3, 1, 2, 2, 2, 3, 1]]"
10_32,"[[2, 1, 3, 1, 2, 3, 2, 2, 3, 3, 1, 2]]"
10_36,"[[2, 3, 1, 2, 1, 3, 1, 2, 2, 2, 3, 1]]"
10_40,"[[1, 2, 3, 2, 1, 2, 3, 1, 3, 3, 1, 1]]"
10_42,"[[2, 3, 2, 1, 3, 1, 1, 2, 3, 1]]"
10_59,"[[2, 3, 3, 1, 3, 2, 1, 2, 3, 1]]"
10_61,"[[2, 3, 3, 3, 3, 1, 2, 3, 3, 3, 1, 2]]"
10_62,"[[2, 2, 2, 3, 1, 2, 2, 2, 3, 1]]"
10_63,"[[2, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1]]"
10_64,"[[2, 3, 3, 3, 1, 2, 3, 3, 3, 1]]"
10_65,"[[1, 1, 1, 2, 3, 1, 1, 1, 2, 3, 1, 1]]"
10_66,"[[1, 1, 1, 2, 3, 2, 1, 1, 1, 3, 1, 1]]"
10_67,"[[1, 1, 1, 2, 3, 1, 2, 3, 1, 1, 1, 1, 3, 1]]"
10_68,"[[1, 1, 1, 2, 3, 2, 3, 2, 1, 1, 1, 1, 3, 1]]"
10_69,"[[2, 2, 2, 1, 3, 1, 3, 2, 2, 2, 3, 1]]"
10_74,"[[2, 1, 3, 3, 2, 1, 3, 3, 3, 1, 3, 3, 3, 1], [3, 3, 3, 3, 2, 1, 3, 2, 1, 3, 3, 3, 1, 3], [2, 1, 3, 3, 1, 2, 3, 2, 1, 1, 3, 3, 1, 1], [1, 2, 3, 3, 3, 3, 3, 2, 1, 2, 3, 3, 1, 2]]"
10_75,"[[2, 3, 3, 3, 2, 3, 3, 2, 1, 3, 3, 1], [3, 3, 3, 2, 1, 2, 1, 2, 3, 3, 1, 3], [2, 3, 3, 2, 3, 2, 1, 1, 1, 3, 1, 1], [1, 3, 3, 2, 2, 2, 1, 3, 2, 3, 1, 2]]"
10_76,"[[1, 2, 3, 2, 1, 1, 3, 2, 3, 1, 1, 1]]"
10_77,"[[2, 1, 3, 3, 2, 1, 1, 2, 3, 3, 1, 2]]"
10_78,"[[2, 1, 2, 2, 1, 3, 3, 3, 2, 1, 3, 1]]"
10_82,"[[3, 1, 2, 3, 2, 2, 1, 2, 3, 1]]"
