Name,Dihedral Linking Numbers
5_2,"[[[0, -2, 2, -2], [-2, -1, 0, 0], [2, 0, -1, -2], [-2, 0, -2, 1]], [[0, -2, 2, -2], [-2, -1, 0, 0], [2, 0, -1, -2], [-2, 0, -2, 1]], [[0, -2, 2, -2], [-2, -1, 0, 0], [2, 0, -1, -2], [-2, 0, -2, 1]]]"
xq,"[[[5, -2, -2, -2], [-2, 2, -2, -2], [-2, -2, 2, -2], [-2, -2, -2, 2]], [[5, -2, -2, -2], [-2, 2, -2, -2], [-2, -2, 2, -2], [-2, -2, -2, 2]], [[5, -2, -2, -2], [-2, 2, -2, -2], [-2, -2, 2, -2], [-2, -2, -2, 2]]]"
7_7,"[[[5, 2, 2, -6], [2, 0, -2, 2], [2, -2, 4, -2], [-6, 2, -2, 4]], [[5, 2, 2, -6], [2, 0, -2, 2], [2, -2, 4, -2], [-6, 2, -2, 4]], [[5, 2, 2, -6], [2, 0, -2, 2], [2, -2, 4, -2], [-6, 2, -2, 4]]]"
8_5,"[[[-8, -10, 10, 2], [-10, -3, 6, 0], [10, 6, -9, -4], [2, 0, -4, 1]], [[-8, -10, 10, 2], [-10, -3, 6, 0], [10, 6, -9, -4], [2, 0, -4, 1]], [[-8, -10, 10, 2], [-10, -3, 6, 0], [10, 6, -9, -4], [2, 0, -4, 1]]]"
8_16,"[[[23, 18, -22, -6], [18, 8, -14, -2], [-22, -14, 20, 6], [-6, -2, 6, 0]], [[23, 18, -22, -6], [18, 8, -14, -2], [-22, -14, 20, 6], [-6, -2, 6, 0]], [[23, 18, -22, -6], [18, 8, -14, -2], [-22, -14, 20, 6], [-6, -2, 6, 0]]]"
9_4,"[[[5, 2, -6, -2], [2, 2, -4, -2], [-6, -4, 4, 0], [-2, -2, 0, 0]], [[5, 2, -6, -2], [2, 2, -4, -2], [-6, -4, 4, 0], [-2, -2, 0, 0]], [[5, 2, -6, -2], [2, 2, -4, -2], [-6, -4, 4, 0], [-2, -2, 0, 0]]]"
9_12,"[[[0, -6, 2, 2], [-6, 1, 2, -2], [2, 2, -3, -2], [2, -2, -2, 1]], [[0, -6, 2, 2], [-6, 1, 2, -2], [2, 2, -3, -2], [2, -2, -2, 1]], [[0, -6, 2, 2], [-6, 1, 2, -2], [2, 2, -3, -2], [2, -2, -2, 1]]]"
9_27,"[[[-5, 2, 2, -2], [2, -3, 0, 2], [2, 0, -1, 0], [-2, 2, 0, -1]], [[-5, 2, 2, -2], [2, -3, 0, 2], [2, 0, -1, 0], [-2, 2, 0, -1]], [[-5, 2, 2, -2], [2, -3, 0, 2], [2, 0, -1, 0], [-2, 2, 0, -1]]]"
9_41,"[[[40/7, -2/7, 26/7, -30/7], [-2/7, -2/7, -2/7, 12/7], [26/7, -2/7, 12/7, -16/7], [-30/7, 12/7, -16/7, 26/7]], [[40/7, -2/7, 26/7, -30/7], [-2/7, -2/7, -2/7, 12/7], [26/7, -2/7, 12/7, -16/7], [-30/7, 12/7, -16/7, 26/7]], [[40/7, -2/7, 26/7, -30/7], [-2/7, -2/7, -2/7, 12/7], [26/7, -2/7, 12/7, -16/7], [-30/7, 12/7, -16/7, 26/7]], [[26/7, -2/7, -2/7, -2/7], [-2/7, 12/7, -2/7, -2/7], [-2/7, -2/7, 12/7, -2/7], [-2/7, -2/7, -2/7, 12/7]], [[19/7, 26/7, -2/7, -30/7], [26/7, -2/7, -16/7, 12/7], [-2/7, -16/7, 26/7, -2/7], [-30/7, 12/7, -2/7, 12/7]], [[33/7, -30/7, -2/7, 26/7], [-30/7, 26/7, 12/7, -16/7], [-2/7, 12/7, -2/7, -2/7], [26/7, -16/7, -2/7, 12/7]], [[26/7, -2/7, 26/7, -30/7], [-2/7, -2/7, -2/7, 12/7], [26/7, -2/7, 12/7, -16/7], [-30/7, 12/7, -16/7, 26/7]], [[12/7, -2/7, 26/7, -30/7], [-2/7, 26/7, -16/7, -2/7], [26/7, -16/7, -2/7, 12/7], [-30/7, -2/7, 12/7, 12/7]], [[19/7, -2/7, -2/7, -2/7], [-2/7, 12/7, -2/7, -2/7], [-2/7, -2/7, 12/7, -2/7], [-2/7, -2/7, -2/7, 12/7]], [[19/7, 26/7, -2/7, -30/7], [26/7, -2/7, -16/7, 12/7], [-2/7, -16/7, 26/7, -2/7], [-30/7, 12/7, -2/7, 12/7]], [[26/7, -2/7, -2/7, -2/7], [-2/7, 12/7, -2/7, -2/7], [-2/7, -2/7, 12/7, -2/7], [-2/7, -2/7, -2/7, 12/7]], [[12/7, -30/7, -2/7, 26/7], [-30/7, 12/7, -2/7, 12/7], [-2/7, -2/7, 26/7, -16/7], [26/7, 12/7, -16/7, -2/7]], [[19/7, 26/7, -2/7, -30/7], [26/7, -2/7, -16/7, 12/7], [-2/7, -16/7, 26/7, -2/7], [-30/7, 12/7, -2/7, 12/7]], [[19/7, -2/7, -2/7, -2/7], [-2/7, 12/7, -2/7, -2/7], [-2/7, -2/7, 12/7, -2/7], [-2/7, -2/7, -2/7, 12/7]], [[33/7, -30/7, -2/7, 26/7], [-30/7, 26/7, 12/7, -16/7], [-2/7, 12/7, -2/7, -2/7], [26/7, -16/7, -2/7, 12/7]], [[19/7, 26/7, -2/7, -30/7], [26/7, -2/7, -16/7, 12/7], [-2/7, -16/7, 26/7, -2/7], [-30/7, 12/7, -2/7, 12/7]], [[26/7, -2/7, 26/7, -30/7], [-2/7, -2/7, -2/7, 12/7], [26/7, -2/7, 12/7, -16/7], [-30/7, 12/7, -16/7, 26/7]], [[26/7, -2/7, -2/7, -2/7], [-2/7, 12/7, -2/7, -2/7], [-2/7, -2/7, 12/7, -2/7], [-2/7, -2/7, -2/7, 12/7]], [[19/7, -2/7, -2/7, -2/7], [-2/7, 12/7, -2/7, -2/7], [-2/7, -2/7, 12/7, -2/7], [-2/7, -2/7, -2/7, 12/7]], [[26/7, -2/7, 26/7, -30/7], [-2/7, -2/7, -2/7, 12/7], [26/7, -2/7, 12/7, -16/7], [-30/7, 12/7, -16/7, 26/7]], [[19/7, 26/7, -2/7, -30/7], [26/7, -2/7, -16/7, 12/7], [-2/7, -16/7, 26/7, -2/7], [-30/7, 12/7, -2/7, 12/7]], [[19/7, 26/7, -2/7, -30/7], [26/7, -2/7, -16/7, 12/7], [-2/7, -16/7, 26/7, -2/7], [-30/7, 12/7, -2/7, 12/7]], [[12/7, 26/7, -30/7, -2/7], [26/7, -2/7, 12/7, -16/7], [-30/7, 12/7, 12/7, -2/7], [-2/7, -16/7, -2/7, 26/7]], [[33/7, -30/7, -2/7, 26/7], [-30/7, 26/7, 12/7, -16/7], [-2/7, 12/7, -2/7, -2/7], [26/7, -16/7, -2/7, 12/7]]]"
9_42,"[[[13, 10, -14, -2], [10, 6, -8, -2], [-14, -8, 12, 4], [-2, -2, 4, 0]], [[13, 10, -14, -2], [10, 6, -8, -2], [-14, -8, 12, 4], [-2, -2, 4, 0]], [[13, 10, -14, -2], [10, 6, -8, -2], [-14, -8, 12, 4], [-2, -2, 4, 0]]]"
10_20,"[[[-7, -6, 6, 2], [-6, -3, 4, 0], [6, 4, -7, -2], [2, 0, -2, -1]], [[-7, -6, 6, 2], [-6, -3, 4, 0], [6, 4, -7, -2], [2, 0, -2, -1]], [[-7, -6, 6, 2], [-6, -3, 4, 0], [6, 4, -7, -2], [2, 0, -2, -1]]]"
10_22,"[[[-13, -6, 10, 2], [-6, -5, 6, 2], [10, 6, -9, -2], [2, 2, -2, -1]], [[-13, -6, 10, 2], [-6, -5, 6, 2], [10, 6, -9, -2], [2, 2, -2, -1]], [[-13, -6, 10, 2], [-6, -5, 6, 2], [10, 6, -9, -2], [2, 2, -2, -1]]]"
10_29,"[[[18, 6, -14, -2], [6, 8, -8, -4], [-14, -8, 12, 2], [-2, -4, 2, 2]], [[18, 6, -14, -2], [6, 8, -8, -4], [-14, -8, 12, 2], [-2, -4, 2, 2]], [[18, 6, -14, -2], [6, 8, -8, -4], [-14, -8, 12, 2], [-2, -4, 2, 2]]]"
10_35,"[[[13, -10, -2, 6], [-10, 10, 2, -6], [-2, 2, 2, -2], [6, -6, -2, 6]], [[13, -10, -2, 6], [-10, 10, 2, -6], [-2, 2, 2, -2], [6, -6, -2, 6]], [[13, -10, -2, 6], [-10, 10, 2, -6], [-2, 2, 2, -2], [6, -6, -2, 6]]]"
10_48,"[[[-4, -2, 2, 2], [-2, -1, 2, 0], [2, 2, -3, 0], [2, 0, 0, -1]], [[-4, -2, 2, 2], [-2, -1, 2, 0], [2, 2, -3, 0], [2, 0, 0, -1]], [[-4, -2, 2, 2], [-2, -1, 2, 0], [2, 2, -3, 0], [2, 0, 0, -1]]]"
10_65,"[[[-1, 2, 2, -2], [2, -1, 0, 2], [2, 0, 1, 0], [-2, 2, 0, 1]], [[-1, 2, 2, -2], [2, -1, 0, 2], [2, 0, 1, 0], [-2, 2, 0, 1]], [[-1, 2, 2, -2], [2, -1, 0, 2], [2, 0, 1, 0], [-2, 2, 0, 1]]]"
