Name,Dihedral Linking Numbers
4_1,"[[[0, -2, 2], [-2, 1, 0], [2, 0, -1]], [[0, -2, 2], [-2, 1, 0], [2, 0, -1]]]"
5_1,"[[[3, -2, -2], [-2, 1, -2], [-2, -2, 1]], [[3, -2, -2], [-2, 1, -2], [-2, -2, 1]]]"
7_4,"[[[1, -6, 2], [-6, 2, -2], [2, -2, -2]], [[1, -6, 2], [-6, 2, -2], [2, -2, -2]]]"
8_8,"[[[-10, -2, 6], [-2, -2, 2], [6, 2, -6]], [[-10, -2, 6], [-2, -2, 2], [6, 2, -6]]]"
8_9,"[[[0, -2, 2], [-2, 1, 0], [2, 0, -1]], [[0, -2, 2], [-2, 1, 0], [2, 0, -1]]]"
8_16,"[[[23, 6, -18], [6, 2, -6], [-18, -6, 14]], [[23, 6, -18], [6, 2, -6], [-18, -6, 14]]]"
8_18,"[[[0, -4, 4], [-4, 2, 0], [4, 0, -2]], [[0, -4, 4], [-4, 2, 0], [4, 0, -2]]]"
8_21,"[[[-12, -2, 10], [-2, -1, 4], [10, 4, -7]], [[-12, -2, 10], [-2, -1, 4], [10, 4, -7]]]"
9_2,"[[[-9, 2, -2], [2, -5, 0], [-2, 0, -3]], [[-9, 2, -2], [2, -5, 0], [-2, 0, -3]]]"
9_12,"[[[11, -10, 2], [-10, 7, -4], [2, -4, 1]], [[11, -10, 2], [-10, 7, -4], [2, -4, 1]]]"
9_23,"[[[-16, 10, -6], [10, -11, 2], [-6, 2, -3]], [[-16, 10, -6], [10, -11, 2], [-6, 2, -3]]]"
9_24,"[[[1, 2, -2], [2, 0, 0], [-2, 0, 2]], [[1, 2, -2], [2, 0, 0], [-2, 0, 2]]]"
9_31,"[[[-20, 14, -2], [14, -11, 6], [-2, 6, -3]], [[-20, 14, -2], [14, -11, 6], [-2, 6, -3]]]"
9_37,"[[[-1, 2, -2], [2, -1, 0], [-2, 0, 1]], [[-1, 2, -2], [2, -1, 0], [-2, 0, 1]]]"
9_39,"[[[-9, 2, 6], [2, -2, 4], [6, 4, -4]], [[-9, 2, 6], [2, -2, 4], [6, 4, -4]]]"
9_40,"[[[1, 2, -2], [2, 1, 0], [-2, 0, 3]], [[1, 2, -2], [2, 1, 0], [-2, 0, 3]], [[4, 6, -6], [6, -1, 0], [-6, 0, 5]], [[1, -2, 2], [-2, 3, 0], [2, 0, 1]], [[1, 2, -2], [2, 1, 0], [-2, 0, 3]], [[4, -6, 6], [-6, 5, 0], [6, 0, -1]], [[4, 6, -6], [6, -1, 0], [-6, 0, 5]], [[4, 6, -6], [6, -1, 0], [-6, 0, 5]], [[4, -6, 6], [-6, 5, 0], [6, 0, -1]], [[1, 2, -2], [2, 1, 0], [-2, 0, 3]], [[4, 6, -6], [6, -1, 0], [-6, 0, 5]], [[1, 2, -2], [2, 1, 0], [-2, 0, 3]]]"
