name,gauss_notation
9_33,"{1, -2, 3, -4, 5, -6, 4, -7, 2, -8, 6, -5, 9, -1, 8, -3, 7, -9}"
10_26,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -10, 4, -1, 2, -3, 10, -5, 8, -7, 6, -9}"
10_39,"{1, -2, 3, -4, 5, -6, 7, -8, 9, -7, 6, -10, 2, -1, 10, -3, 4, -5, 8, -9}"
10_55,"{-1, 2, -3, 4, -5, 6, -7, 1, -2, 7, -6, 5, -8, 9, -10, 8, -4, 3, -9, 10}"
10_79,"{-1, 2, -3, 4, -5, 1, -2, 3, -6, 7, -4, 5, -8, 9, -10, 6, -7, 8, -9, 10}"
11a_13,"{-1, 2, -3, 1, -4, 5, -6, 3, -2, 4, -7, 8, -9, 10, -11, 6, -5, 11, -10, 9, -8, 7}"
11a_171,"{-1, 2, -3, 1, -4, 5, -6, 7, -2, 3, -8, 9, -5, 10, -7, 11, -9, 4, -10, 6, -11, 8}"
11a_240,"{-1, 2, -3, 1, -4, 5, -6, 7, -8, 9, -10, 11, -2, 3, -9, 10, -11, 4, -5, 6, -7, 8}"
11a_310,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -2, 3, -4, 5, -10, 11, -9, 8, -7, 6, -11, 10}"
11a_341,"{-1, 2, -3, 4, -5, 1, -6, 7, -8, 9, -10, 11, -4, 3, -2, 5, -11, 10, -9, 6, -7, 8}"
11n_55,"{-1, 2, -3, 1, 4, -5, -2, 3, -6, 7, -8, 9, 5, -4, -10, 6, -11, 8, -9, 11, -7, 10}"
11n_89,"{-1, 2, -3, 1, -4, -5, 6, -7, 8, 3, -2, 4, -9, 10, 5, -6, 7, -8, -11, 9, -10, 11}"
12a_0175,"{1, -2, 3, -1, 4, -5, 6, -3, 2, -6, 7, -8, 9, -10, 5, -4, 10, -7, 11, -12, 8, -9, 12, -11}"
12a_0203,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -6, 10, -11, 12, -8, 7, -10, 11, -12, 5, -9}"
12a_0260,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -3, 2, -4, 9, -10, 7, -11, 12, -6, 10, -9, 5, -12, 11, -8}"
12a_0319,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 5, -4, 10, -11, 12, -8, 7, -6, 9, -10, 11, -12}"
12a_0359,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -6, 11, -4, 9, -12, 7, -11, 5, -10, 12, -8}"
12a_0395,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 8, -9, 10, -11, 12, -4, 7, -8, 9, -6, 5, -12, 11, -10}"
12a_0429,"{1, -2, 3, -1, 4, -5, 6, -7, 2, -3, 7, -8, 9, -6, 10, -11, 12, -4, 8, -9, 5, -12, 11, -10}"
12a_0505,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -3, 2, -4, 11, -6, 7, -8, 5, -11, 12, -10, 9, -12}"
12a_0528,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -4, 11, -8, 12, -6, 7, -12, 5, -11, 9, -10}"
12a_0575,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 2, -3, 10, -11, 9, -4, 7, -6, 5, -8, 12, -10, 11, -12}"
12a_0744,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 12, -4, 11, -10, 9, -8, 7, -6, 5, -12}"
12a_0759,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 11, -10, 12, -4, 5, -6, 7, -8, 9, -12}"
12a_0768,"{1, -2, 3, -1, 4, -5, 6, -7, 8, -9, 10, -11, 2, -3, 9, -8, 12, -4, 11, -10, 5, -6, 7, -12}"
12a_0862,"{1, -2, 3, -4, 5, -1, 6, -3, 4, -7, 8, -9, 10, -11, 12, -6, 2, -5, 9, -8, 7, -12, 11, -10}"
12a_0904,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 11, -5, 12, -8, 2, -9, 10, -11, 4, -12, 7, -6}"
12a_0972,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 4, -9, 10, -11, 7, -12, 2, -5, 9, -10, 11, -8, 12, -6}"
12a_1002,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -3, 9, -10, 4, -11, 12, -6, 7, -8, 2, -9, 10, -5, 11, -12}"
12a_1059,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 2, -3, 10, -11, 12, -5, 4, -10, 9, -6, 7, -8, 11, -12}"
12a_1060,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 10, -3, 4, -11, 12, -5, 2, -10, 9, -6, 7, -8, 11, -12}"
12a_1102,"{1, -2, 3, -4, 5, -1, 6, -7, 8, -9, 4, -3, 10, -11, 7, -6, 12, -10, 9, -5, 2, -12, 11, -8}"
12a_1216,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -3, 9, -5, 10, -11, 12, -8, 2, -7, 6, -9, 4, -10, 11, -12}"
12a_1273,"{1, -2, 3, -4, 5, -6, 7, -1, 8, -9, 10, -11, 12, -3, 4, -5, 6, -7, 2, -8, 9, -10, 11, -12}"
12n_0008,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, 7, -8, 9, 6, -5, -7, 10, -11, 12, -9, 8, -10, 11, -12}"
12n_0011,"{1, -2, 3, -1, 4, 5, -6, -3, 2, -4, -7, 8, -9, 6, -5, 7, -10, 11, -12, 9, -8, 12, -11, 10}"
12n_0162,"{1, -2, 3, -1, 4, -5, 2, -3, -6, 7, -8, 9, 5, -4, -10, 6, -9, 11, -12, 8, -7, 12, -11, 10}"
12n_0215,"{1, -2, 3, -1, -4, 5, 2, -3, -6, 7, -8, 9, -5, 4, -10, 11, -9, 8, -7, 6, -12, 10, -11, 12}"
12n_0315,"{1, -2, 3, -1, -4, 5, -6, 7, 2, -3, -8, 6, -9, 4, -10, 11, -12, 8, -7, 9, -5, 10, -11, 12}"
12n_0327,"{1, -2, 3, -1, -4, 5, 6, -7, 2, -3, 8, -6, -9, 4, 10, -11, -5, 9, 7, -8, 12, -10, 11, -12}"
12n_0356,"{1, -2, 3, -1, -4, 5, -6, -7, 8, -3, 2, 9, -10, 4, -11, 6, -12, 10, -9, -8, 7, 12, -5, 11}"
12n_0593,"{1, -2, 3, -1, -4, 5, -6, 7, -8, 9, 2, -3, -7, 6, -10, 11, -12, 4, -9, 8, -5, 12, -11, 10}"
12n_0704,"{1, 2, -3, 4, -5, -1, 6, 7, -8, 3, -9, 5, 10, -6, -11, 12, -2, 9, -4, 8, -12, 11, -7, -10}"
12n_0709,"{1, -2, 3, -4, 5, -1, -6, 7, -8, -3, 9, -5, 10, -11, 12, 6, -7, 8, 2, -9, 4, -10, 11, -12}"
12n_0724,"{1, -2, 3, -4, 5, -1, -6, 7, 2, -3, 4, -5, 8, -9, 10, -11, -7, 6, 12, -8, 11, -10, 9, -12}"
12n_0761,"{1, 2, -3, -4, 5, -1, 6, -7, 8, 3, -2, -6, 9, -10, 4, -5, 11, -12, 10, -8, 7, -9, 12, -11}"
12n_0793,"{1, -2, 3, -4, 5, -1, -6, 7, 2, -3, 8, -9, 10, -11, -7, 6, 12, -5, 4, -8, 9, -10, 11, -12}"
