Name,Row Reduced Coloring Matrix
4_1,"[[1, 0, 2, 2], [0, 1, 1, 3], [0, 0, 0, 0], [0, 0, 0, 0]]"
5_1,"[[1, 0, 0, 1, 3], [0, 1, 0, 2, 2], [0, 0, 1, 3, 1], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]"
7_4,"[[1, 0, 0, 0, 0, 3, 1], [0, 1, 0, 0, 0, 0, 4], [0, 0, 1, 0, 0, 2, 2], [0, 0, 0, 1, 0, 4, 0], [0, 0, 0, 0, 1, 1, 3], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]"
8_8,"[[1, 0, 0, 0, 0, 0, 1, 3], [0, 1, 0, 0, 0, 0, 3, 1], [0, 0, 1, 0, 0, 0, 0, 4], [0, 0, 0, 1, 0, 0, 2, 2], [0, 0, 0, 0, 1, 0, 3, 1], [0, 0, 0, 0, 0, 1, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]"
8_9,"[[1, 0, 0, 0, 0, 0, 4, 0], [0, 1, 0, 0, 0, 0, 2, 2], [0, 0, 1, 0, 0, 0, 0, 4], [0, 0, 0, 1, 0, 0, 3, 1], [0, 0, 0, 0, 1, 0, 2, 2], [0, 0, 0, 0, 0, 1, 1, 3], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]"
8_16,"[[1, 0, 0, 0, 0, 0, 1, 3], [0, 1, 0, 0, 0, 0, 0, 4], [0, 0, 1, 0, 0, 0, 0, 4], [0, 0, 0, 1, 0, 0, 3, 1], [0, 0, 0, 0, 1, 0, 2, 2], [0, 0, 0, 0, 0, 1, 3, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]"
8_18,"[[1, 0, 0, 0, 0, 0, 3, 1], [0, 1, 0, 0, 0, 0, 2, 2], [0, 0, 1, 0, 0, 0, 4, 0], [0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0, 3, 1], [0, 0, 0, 0, 0, 1, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]"
8_21,"[[1, 0, 0, 0, 0, 0, 4, 0], [0, 1, 0, 0, 0, 0, 3, 1], [0, 0, 1, 0, 0, 0, 2, 2], [0, 0, 0, 1, 0, 0, 1, 3], [0, 0, 0, 0, 1, 0, 3, 1], [0, 0, 0, 0, 0, 1, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]"
9_2,"[[1, 0, 0, 0, 0, 0, 0, 1, 3], [0, 1, 0, 0, 0, 0, 0, 2, 2], [0, 0, 1, 0, 0, 0, 0, 3, 1], [0, 0, 0, 1, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0, 0, 4, 0], [0, 0, 0, 0, 0, 1, 0, 3, 1], [0, 0, 0, 0, 0, 0, 1, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]"
9_12,"[[1, 0, 0, 0, 0, 0, 0, 2, 2], [0, 1, 0, 0, 0, 0, 0, 3, 1], [0, 0, 1, 0, 0, 0, 0, 2, 2], [0, 0, 0, 1, 0, 0, 0, 1, 3], [0, 0, 0, 0, 1, 0, 0, 0, 4], [0, 0, 0, 0, 0, 1, 0, 1, 3], [0, 0, 0, 0, 0, 0, 1, 3, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]"
