Name,Sign List
3_1,"[1, 1, 1, 1]"
6_1,"[1, -1, -1, 1, 1, -1, 1, 1]"
7_4,"[1, -1, 1, -1, 1, 1, 1, 1, 1, 1]"
7_7,"[-1, 1, -1, 1, -1, -1, 1, 1]"
8_5,"[1, -1, 1, 1, 1, -1, 1, 1]"
8_10,"[-1, -1, 1, 1, -1, 1, -1, -1]"
8_11,"[1, -1, 1, -1, 1, 1, 1, -1, 1, 1]"
8_15,"[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
8_18,"[-1, 1, -1, 1, -1, 1, -1, 1]"
8_19,"[1, 1, 1, 1, 1, 1, 1, 1]"
8_20,"[1, -1, 1, 1, -1, -1, -1, -1]"
8_21,"[1, 1, 1, -1, 1, 1, 1, -1]"
9_1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9_2,"[1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 1, 1]"
9_4,"[1, 1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1]"
9_6,"[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
9_10,"[1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1]"
9_11,"[-1, -1, -1, -1, 1, -1, -1, -1, 1, 1]"
9_15,"[-1, -1, -1, -1, 1, -1, -1, -1, 1, 1]"
9_16,"[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]"
9_17,"[-1, 1, 1, -1, 1, -1, 1, -1, 1, 1]"
9_23,"[1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1]"
9_24,"[1, -1, -1, 1, -1, 1, -1, 1, 1, 1]"
9_28,"[1, -1, 1, -1, 1, 1, -1, 1, 1, 1]"
9_29,"[-1, -1, -1, -1, 1, 1, -1, 1, 1, 1]"
9_34,"[-1, 1, 1, -1, -1, 1, -1, -1, 1, 1]"
9_35,"[1, -1, 1, -1, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1]"
9_37,"[1, -1, 1, 1, -1, -1, -1, 1, 1, -1, -1, 1]"
9_38,"[1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1]"
9_40,"[-1, 1, 1, -1, 1, 1, -1, 1, 1, 1]"
9_46,"[-1, 1, -1, -1, -1, 1, -1, -1, 1, 1]"
9_47,"[-1, 1, 1, -1, 1, 1, -1, 1, 1, 1]"
9_48,"[-1, -1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1]"
10_4,"[-1, -1, 1, -1, 1, 1, -1, -1, 1, -1, 1, 1]"
10_5,"[-1, -1, -1, -1, 1, -1, -1, -1, 1, 1]"
10_9,"[1, 1, -1, -1, 1, 1, 1, -1, -1, 1]"
10_10,"[1, -1, -1, -1, 1, 1, -1, -1, -1, -1, 1, 1]"
10_14,"[1, 1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1]"
10_19,"[1, 1, -1, -1, 1, 1, 1, -1, -1, -1, 1, 1]"
10_21,"[1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1, 1]"
10_29,"[1, -1, -1, 1, 1, 1, -1, -1, 1, 1]"
10_31,"[1, -1, -1, -1, 1, 1, 1, -1, -1, -1, 1, 1]"
10_32,"[-1, -1, 1, 1, 1, -1, -1, 1, -1, 1, 1, 1]"
10_36,"[1, 1, -1, -1, 1, 1, 1, -1, 1, -1, 1, 1]"
10_40,"[-1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1, 1]"
10_42,"[1, -1, -1, 1, 1, -1, -1, -1, 1, 1]"
10_59,"[-1, 1, 1, -1, -1, 1, 1, -1, 1, 1]"
10_61,"[1, -1, -1, 1, 1, 1, 1, -1, -1, 1, 1, 1]"
10_62,"[-1, -1, -1, -1, 1, -1, -1, 1, 1, -1]"
10_63,"[1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1]"
10_64,"[1, -1, -1, 1, 1, 1, -1, -1, 1, 1]"
10_65,"[-1, -1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1]"
10_66,"[1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10_67,"[1, 1, -1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1, 1]"
10_68,"[1, -1, 1, -1, -1, 1, -1, 1, 1, -1, -1, -1, -1, 1]"
10_69,"[-1, -1, 1, 1, -1, -1, -1, 1, -1, -1, -1, 1]"
10_74,"[1, -1, 1, -1, 1, -1, -1, 1, 1, 1, 1, -1, 1, 1]"
10_75,"[-1, 1, 1, -1, -1, 1, -1, 1, -1, -1, -1, 1]"
10_76,"[1, 1, -1, 1, -1, 1, 1, 1, 1, -1, 1, 1]"
10_77,"[-1, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1, 1]"
10_78,"[1, -1, -1, 1, 1, 1, -1, 1, 1, 1, 1, 1]"
10_82,"[1, 1, -1, -1, 1, -1, 1, 1, -1, 1]"
10_84,"[1, -1, 1, 1, 1, -1, 1, -1, 1, -1, 1, 1]"
10_85,"[-1, -1, -1, -1, 1, -1, 1, -1, -1, 1]"
10_87,"[1, -1, 1, 1, 1, -1, -1, -1, 1, -1, 1, 1]"
10_89,"[-1, 1, -1, -1, 1, -1, -1, -1, 1, -1, -1, 1]"
10_96,"[-1, 1, 1, -1, -1, -1, 1, 1, -1, -1, -1, 1]"
10_97,"[1, -1, -1, 1, -1, 1, 1, 1, 1, 1, 1, -1, -1, 1]"
10_98,"[1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1, 1]"
10_99,"[1, 1, -1, 1, -1, -1, -1, 1, -1, 1]"
10_103,"[-1, -1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1]"
10_106,"[1, -1, 1, -1, 1, 1, -1, -1, 1, 1]"
10_107,"[1, -1, -1, 1, 1, 1, -1, -1, 1, -1, -1, 1]"
10_108,"[1, 1, -1, -1, 1, -1, 1, -1, -1, 1, 1, 1]"
10_112,"[-1, -1, 1, -1, 1, -1, 1, -1, -1, 1]"
10_113,"[1, -1, 1, 1, 1, -1, -1, 1, 1, -1, 1, 1]"
10_114,"[-1, -1, 1, -1, -1, 1, -1, 1, -1, 1, 1, 1]"
10_120,"[1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1]"
10_122,"[-1, -1, 1, -1, 1, -1, -1, 1, -1, 1, 1, 1]"
10_136,"[-1, -1, 1, -1, -1, 1, 1, -1, -1, 1, 1, 1]"
10_139,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10_140,"[-1, -1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1]"
10_141,"[-1, -1, 1, 1, -1, -1, 1, 1, 1, 1]"
10_142,"[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10_143,"[-1, -1, 1, -1, -1, -1, -1, -1, 1, 1]"
10_144,"[1, -1, -1, 1, 1, 1, -1, 1, -1, 1, 1, 1]"
10_145,"[-1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1]"
10_146,"[-1, -1, -1, 1, 1, -1, 1, 1, -1, -1, 1, 1]"
10_147,"[1, -1, 1, 1, 1, -1, -1, 1, -1, -1, 1, 1]"
10_158,"[-1, -1, -1, 1, 1, 1, -1, 1, -1, 1, 1, 1]"
10_159,"[1, 1, -1, 1, 1, 1, -1, 1, 1, -1]"
10_160,"[1, -1, 1, 1, 1, 1, 1, 1, -1, -1, 1, 1]"
10_163,"[1, -1, -1, 1, 1, -1, 1, -1, 1, 1, 1, 1]"
10_164,"[1, -1, 1, 1, -1, -1, -1, 1, -1, -1, 1, 1]"
10_165,"[-1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1, 1]"
11a_6,"[-1, 1, 1, -1, 1, -1, -1, 1, 1, -1, 1, 1]"
11a_8,"[-1, -1, 1, -1, -1, -1, -1, 1, 1, -1, 1, 1]"
11a_16,"[1, -1, -1, 1, -1, -1, -1, 1, 1, 1, -1, 1]"
11a_17,"[1, 1, 1, -1, -1, 1, -1, -1, 1, 1, 1, -1, 1, 1]"
11a_21,"[1, 1, 1, -1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1]"
11a_37,"[1, -1, -1, 1, 1, -1, 1, 1, 1, -1, -1, 1]"
11a_38,"[-1, -1, 1, 1, -1, 1, 1, -1, -1, -1, -1, 1, 1, 1]"
11a_43,"[1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11a_44,"[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1, -1, -1, 1, 1]"
11a_45,"[1, 1, 1, -1, -1, -1, 1, 1, 1, -1, -1, 1, 1, 1]"
11a_46,"[1, -1, -1, 1, 1, -1, 1, 1, 1, -1, -1, 1]"
11a_47,"[1, -1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1]"
11a_49,"[1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
11a_57,"[-1, -1, -1, -1, 1, 1, 1, 1, -1, -1, -1, 1, 1, 1]"
11a_58,"[1, -1, -1, 1, 1, 1, -1, -1, -1, 1, -1, 1]"
11a_63,"[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, 1]"
11a_69,"[1, -1, 1, -1, 1, 1, -1, -1, -1, 1, -1, -1, 1, 1]"
11a_71,"[1, -1, -1, 1, 1, -1, 1, 1, 1, -1, 1, 1]"
11a_72,"[1, -1, 1, 1, -1, -1, -1, 1, -1, 1, 1, 1]"
11a_73,"[-1, 1, -1, -1, 1, -1, 1, -1, 1, -1, 1, 1]"
11a_78,"[1, 1, 1, -1, -1, 1, -1, 1, 1, 1, -1, -1, -1, 1]"
