Name,Sign List
4_1,"[-1, 1, -1, 1]"
5_1,"[-1, -1, -1, -1, -1, 1]"
7_4,"[-1, -1, -1, -1, -1, -1, -1, 1]"
8_8,"[1, -1, 1, 1, -1, -1, -1, -1]"
8_9,"[-1, 1, 1, -1, -1, 1, 1, -1]"
8_16,"[-1, -1, 1, -1, 1, -1, 1, -1]"
8_18,"[-1, 1, -1, 1, -1, 1, -1, 1]"
8_21,"[1, -1, 1, 1, 1, 1, -1, 1]"
9_2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
9_12,"[-1, 1, -1, -1, 1, -1, -1, -1, -1, 1]"
9_23,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
9_24,"[1, 1, 1, -1, -1, 1, -1, -1, 1, 1]"
9_31,"[1, -1, 1, 1, -1, 1, 1, -1, 1, 1]"
9_37,"[1, 1, -1, -1, 1, -1, 1, -1, -1, 1]"
9_39,"[1, -1, 1, 1, 1, 1, 1, -1, 1, 1]"
9_40,"[1, 1, -1, 1, 1, -1, 1, 1, -1, 1]"
9_49,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10_3,"[-1, -1, 1, 1, -1, -1, -1, 1, 1, -1]"
10_10,"[1, -1, -1, -1, 1, 1, -1, -1, -1, -1]"
10_18,"[-1, -1, 1, 1, -1, -1, -1, 1, 1, -1]"
10_20,"[-1, -1, 1, -1, -1, -1, -1, 1, -1, -1]"
10_21,"[1, 1, 1, -1, 1, 1, 1, 1, -1, 1]"
10_24,"[-1, -1, -1, 1, -1, -1, -1, -1, 1, -1]"
10_25,"[1, 1, 1, -1, 1, 1, 1, 1, -1, 1]"
10_33,"[-1, -1, -1, 1, 1, -1, -1, 1, 1, 1]"
10_40,"[-1, 1, -1, -1, -1, -1, -1, 1, 1, -1]"
10_56,"[-1, -1, -1, 1, -1, -1, -1, -1, 1, -1]"
10_58,"[-1, 1, 1, -1, 1, 1, -1, -1, 1, 1]"
10_59,"[-1, 1, -1, 1, -1, -1, 1, -1, -1, 1]"
10_60,"[-1, 1, -1, 1, -1, -1, 1, -1, -1, 1]"
10_62,"[-1, 1, -1, -1, -1, -1, -1, 1, 1, -1]"
10_66,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10_81,"[-1, -1, -1, -1, 1, -1, 1, 1, 1, 1]"
10_86,"[-1, 1, -1, -1, 1, 1, 1, -1, 1, 1]"
10_100,"[-1, -1, -1, 1, -1, 1, -1, 1, -1, -1]"
10_101,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
10_103,"[-1, -1, -1, 1, -1, 1, -1, 1, -1, -1]"
10_106,"[-1, 1, 1, -1, -1, 1, 1, 1, -1, 1]"
10_109,"[-1, -1, -1, 1, -1, 1, -1, 1, 1, 1]"
10_116,"[-1, 1, -1, 1, -1, 1, -1, 1, -1, -1]"
10_120,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
10_121,"[-1, 1, -1, -1, -1, 1, -1, -1, 1, -1]"
10_122,"[1, -1, 1, 1, -1, 1, -1, 1, 1, -1]"
10_129,"[1, 1, 1, 1, -1, -1, -1, 1, -1, -1]"
10_132,"[1, 1, 1, 1, 1, 1, -1, -1, 1, -1]"
10_136,"[-1, 1, -1, -1, 1, -1, 1, 1, 1, 1]"
10_137,"[1, 1, -1, 1, -1, 1, -1, 1, 1, -1]"
10_138,"[1, 1, -1, 1, -1, 1, 1, -1, 1, -1]"
10_142,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10_155,"[1, -1, -1, -1, 1, 1, -1, -1, 1, -1]"
10_156,"[1, -1, -1, -1, -1, 1, -1, -1, -1, 1]"
10_158,"[-1, 1, -1, 1, 1, 1, -1, -1, 1, 1]"
10_161,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10_162,"[-1, 1, -1, 1, -1, -1, -1, 1, 1, -1]"
10_164,"[-1, -1, 1, -1, 1, -1, -1, 1, 1, 1]"
11a_3,"[-1, 1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 1]"
11a_5,"[-1, 1, -1, 1, 1, -1, -1, 1, 1, -1, 1, 1]"
11a_6,"[-1, 1, -1, -1, 1, -1, 1, -1, -1, -1, 1, 1]"
11a_7,"[-1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1, 1]"
11a_9,"[-1, 1, -1, 1, 1, -1, -1, -1, 1, -1, -1, 1]"
11a_16,"[-1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1]"
11a_19,"[-1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -1, 1]"
11a_21,"[-1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, 1]"
11a_25,"[-1, -1, 1, -1, -1, 1, 1, -1, -1, 1, -1, 1]"
11a_29,"[-1, 1, -1, 1, 1, 1, -1, -1, 1, 1, -1, 1]"
11a_31,"[-1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1, 1]"
11a_33,"[-1, -1, 1, -1, 1, 1, -1, 1, 1, 1, -1, 1]"
11a_41,"[-1, -1, 1, -1, -1, -1, 1, 1, -1, -1, -1, 1]"
11a_43,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11a_49,"[-1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1]"
11a_51,"[-1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 1]"
11a_60,"[-1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1]"
11a_62,"[-1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
11a_67,"[-1, 1, 1, -1, 1, -1, 1, 1, -1, 1, 1, 1]"
11a_76,"[-1, 1, -1, 1, 1, 1, -1, 1, -1, 1, -1, 1]"
11a_82,"[-1, -1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1]"
11a_99,"[-1, 1, -1, -1, -1, 1, 1, -1, 1, -1, 1, 1]"
11a_104,"[-1, 1, 1, -1, -1, 1, 1, 1, -1, -1, -1, 1]"
11a_112,"[-1, 1, -1, -1, 1, 1, 1, -1, -1, 1, 1, 1]"
11a_124,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11a_125,"[-1, -1, 1, -1, -1, 1, -1, 1, 1, -1, -1, 1]"
11a_126,"[-1, -1, 1, -1, -1, 1, 1, 1, 1, -1, -1, 1]"
11a_132,"[-1, 1, -1, -1, 1, 1, -1, -1, -1, 1, -1, 1]"
11a_140,"[-1, -1, -1, -1, -1, 1, 1, -1, -1, 1, 1, 1]"
11a_148,"[-1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1]"
11a_150,"[-1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1]"
11a_157,"[-1, 1, 1, -1, -1, 1, 1, -1, 1, 1, 1, 1]"
11a_160,"[-1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1]"
11a_168,"[-1, 1, 1, -1, -1, 1, -1, -1, 1, -1, 1, 1]"
11a_170,"[-1, -1, 1, -1, -1, 1, -1, 1, 1, 1, -1, 1]"
11a_173,"[-1, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1, 1]"
11a_175,"[-1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, 1]"
11a_183,"[-1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11a_186,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1]"
11a_190,"[-1, -1, 1, -1, -1, -1, 1, 1, -1, -1, 1, 1]"
11a_193,"[-1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1]"
11a_198,"[-1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, 1]"
