Name,Dihedral Linking Number
3_1,"[[2, 2]]"
6_1,"[[-2, -2]]"
7_4,"[[2, 2]]"
7_7,"[[-2, -2]]"
8_5,"[[4, 4]]"
8_10,"[[0, 0]]"
8_11,"[[-2, -2]]"
8_15,"[[4, 4]]"
8_18,"[[-2, -2], [-2, -2], [2, 2], [2, 2]]"
8_19,"[[-4, -4]]"
8_20,"[[0, 0]]"
8_21,"[[4, 4]]"
9_1,"[[6, 6]]"
9_2,"[[-2, -2]]"
9_4,"[[-8, -8]]"
9_6,"[[6, 6]]"
9_10,['No Dihedral Linking Number Exists']
9_11,"[[6, 6]]"
9_15,"[[3, 3]]"
9_16,"[[4, 4]]"
9_17,"[[-6, -6]]"
9_23,"[[-7, -7]]"
9_24,"[[0, 0]]"
9_28,"[[-4, -4]]"
9_29,"[[4, 4]]"
9_34,"[[2, 2]]"
9_35,"[[2/3, 2/3], 'No Dihedral Linking Number Exists', 'No Dihedral Linking Number Exists', [2, 2/3]]"
9_37,"[[-1/4, -1/4], [2, 2], 'No Dihedral Linking Number Exists', [14/3, 14/3]]"
9_38,"[[-14, -14]]"
9_40,"[[4, 4]]"
9_46,"[[16/3, 16/3], [-2/3, -2/3], 'No Dihedral Linking Number Exists', [-2/3, -2/3]]"
9_47,"[[3, 10], [0, 0], [2/3, 2/3], 'No Dihedral Linking Number Exists']"
9_48,"[[4, 4], [10/3, 10/3], 'No Dihedral Linking Number Exists', [8/3, 10/3]]"
10_4,['No Dihedral Linking Number Exists']
10_5,"[[-6, -6]]"
10_9,"[[2, 2]]"
10_10,"[[2, 2]]"
10_14,"[[2, 2]]"
10_19,['No Dihedral Linking Number Exists']
10_21,"[[10/9, 10/9]]"
10_29,"[[4, 4]]"
10_31,"[[-6, -6]]"
10_32,"[[-2, -2]]"
10_36,['No Dihedral Linking Number Exists']
10_40,"[[-4, -4]]"
10_42,"[[-2, -2]]"
10_59,"[[-2, -2]]"
10_61,"[[4, 4]]"
10_62,"[[0, 0]]"
10_63,"[[4, 4]]"
10_64,"[[4, 4]]"
10_65,['No Dihedral Linking Number Exists']
10_66,"[[4, 4]]"
10_67,"[[14/5, 14/5]]"
10_68,"[[6/5, 6/5]]"
10_69,"[[6, 6]]"
10_74,"['No Dihedral Linking Number Exists', [14/3, 14/3], 'No Dihedral Linking Number Exists', [-11/8, -11/8]]"
10_75,"[[22/3, 22/3], [-2/7, -2/7], 'No Dihedral Linking Number Exists', [22/3, 22/3]]"
10_76,"[[4, 4]]"
10_77,"[[0, 0]]"
10_78,"[[4, 4]]"
10_82,"[[0, 0]]"
10_84,['No Dihedral Linking Number Exists']
10_85,"[[-4, -4]]"
10_87,['No Dihedral Linking Number Exists']
10_89,"[[-35/2, -35/2]]"
10_96,"[[-2/3, -2/3]]"
10_97,['No Dihedral Linking Number Exists']
10_98,"[[-4, -4], [-6, -6], [-4, -4], [-5, -5]]"
10_99,"[[0, 0], [0, 0], [0, 0], 'No Dihedral Linking Number Exists']"
