Name,Color List
3_1,"[[1, 2, 0, 1]]"
6_1,"[[0, 2, 1, 2, 0, 1]]"
7_4,"[[1, 2, 0, 2, 1, 0, 0, 1]]"
7_7,"[[1, 0, 2, 1, 2, 0, 0, 1]]"
8_5,"[[2, 0, 0, 1, 2, 0, 0, 1]]"
8_10,"[[1, 2, 0, 1, 1, 2, 0, 1]]"
8_11,"[[1, 0, 2, 1, 2, 0, 0, 1]]"
8_15,"[[2, 1, 1, 0, 2, 0, 1, 1]]"
8_18,"[[2, 0, 2, 1, 1, 0, 1, 2], [0, 2, 2, 1, 2, 0, 0, 1], [2, 2, 1, 2, 0, 0, 1, 0], [2, 0, 1, 1, 2, 1, 0, 0]]"
8_19,"[[1, 2, 0, 2, 1, 1, 0, 1]]"
8_20,"[[2, 1, 1, 0, 2, 0, 1, 1]]"
8_21,"[[2, 1, 1, 0, 2, 0, 1, 1]]"
9_1,"[[1, 2, 0, 1, 2, 0, 1, 2, 0, 1]]"
9_2,"[[1, 2, 0, 1, 0, 2, 1, 2, 0, 1]]"
9_4,"[[1, 0, 2, 1, 2, 0, 1, 2, 0, 1]]"
9_6,"[[1, 2, 1, 0, 1, 2, 0, 2, 0, 1]]"
9_10,"[[1, 2, 2, 1, 1, 0, 2, 0, 1, 1]]"
9_11,"[[1, 2, 0, 1, 0, 2, 1, 2, 0, 1]]"
9_15,"[[1, 2, 0, 2, 1, 0, 2, 1, 0, 1]]"
9_16,"[[1, 2, 2, 2, 0, 1, 2, 2, 0, 1]]"
9_17,"[[1, 1, 2, 1, 1, 0, 2, 0, 1, 1]]"
9_23,"[[1, 2, 1, 0, 2, 0, 2, 1, 0, 1]]"
9_24,"[[1, 1, 2, 0, 1, 1, 1, 2, 0, 1]]"
9_28,"[[1, 2, 0, 2, 1, 1, 0, 1, 1, 1]]"
9_29,"[[1, 1, 2, 0, 0, 2, 1, 1, 0, 1]]"
9_34,"[[1, 1, 2, 2, 0, 2, 1, 1, 0, 1]]"
9_35,"[[2, 2, 2, 1, 0, 2, 2, 0, 1, 2], [1, 2, 0, 0, 2, 1, 0, 0, 0, 1], [0, 1, 2, 1, 2, 0, 2, 0, 1, 0], [0, 1, 2, 0, 0, 0, 2, 1, 0, 0]]"
9_37,"[[2, 0, 0, 2, 1, 0, 0, 0, 1, 2], [1, 1, 2, 1, 1, 1, 0, 2, 0, 1], [0, 1, 2, 0, 2, 1, 0, 2, 1, 0], [0, 2, 0, 0, 1, 2, 1, 0, 0, 0]]"
9_38,"[[1, 2, 2, 0, 2, 2, 1, 0, 0, 1]]"
9_40,"[[1, 2, 0, 0, 1, 2, 2, 0, 1, 1]]"
9_46,"[[2, 2, 1, 0, 2, 2, 2, 0, 1, 2], [1, 0, 0, 2, 1, 2, 0, 0, 0, 1], [0, 2, 1, 2, 0, 1, 2, 0, 1, 0], [0, 2, 0, 0, 0, 1, 2, 1, 0, 0]]"
9_47,"[[2, 0, 0, 2, 0, 1, 1, 0, 1, 2], [1, 0, 2, 0, 1, 1, 2, 0, 0, 1], [0, 0, 2, 2, 1, 2, 0, 0, 1, 0], [0, 1, 0, 2, 2, 1, 2, 1, 0, 0]]"
9_48,"[[2, 2, 1, 0, 2, 2, 2, 0, 1, 2], [1, 0, 0, 2, 1, 2, 0, 0, 0, 1], [0, 2, 1, 2, 0, 1, 2, 0, 1, 0], [0, 2, 0, 0, 0, 1, 2, 1, 0, 0]]"
10_4,"[[2, 0, 1, 0, 2, 1, 1, 2, 0, 1]]"
10_5,"[[0, 2, 1, 2, 0, 2, 1, 0, 1, 1]]"
10_9,"[[2, 0, 2, 1, 2, 0, 1, 0, 0, 1]]"
10_10,"[[1, 2, 1, 0, 2, 0, 1, 2, 0, 1]]"
10_14,"[[2, 0, 1, 2, 0, 2, 1, 0, 0, 1]]"
10_19,"[[0, 2, 0, 2, 1, 2, 1, 0, 1, 1]]"
10_21,"[[1, 0, 0, 0, 2, 1, 2, 0, 0, 1]]"
10_29,"[[2, 1, 0, 2, 2, 0, 1, 2, 0, 1]]"
10_31,"[[2, 1, 2, 0, 1, 0, 2, 0, 1, 1]]"
10_32,"[[2, 0, 1, 1, 2, 0, 1, 2, 0, 1]]"
10_36,"[[1, 2, 0, 1, 2, 0, 2, 1, 0, 1]]"
10_40,"[[0, 1, 2, 2, 1, 2, 0, 2, 0, 1]]"
10_42,"[[1, 2, 0, 2, 0, 1, 2, 1, 0, 1]]"
10_59,"[[2, 1, 0, 1, 2, 2, 0, 2, 0, 1]]"
10_61,"[[2, 0, 0, 0, 1, 2, 0, 0, 0, 1]]"
10_62,"[[1, 1, 2, 0, 1, 1, 1, 2, 0, 1]]"
10_63,"[[2, 1, 1, 1, 0, 2, 0, 1, 1, 1]]"
10_64,"[[1, 1, 2, 0, 1, 1, 1, 2, 0, 1]]"
10_65,"[[2, 0, 0, 0, 1, 2, 0, 0, 0, 1]]"
10_66,"[[2, 2, 2, 0, 2, 2, 2, 1, 0, 1]]"
10_67,"[[1, 2, 1, 1, 1, 1, 0, 2, 0, 1]]"
10_68,"[[1, 1, 0, 2, 1, 1, 1, 2, 0, 1]]"
10_69,"[[1, 1, 2, 1, 1, 1, 0, 2, 0, 1]]"
10_74,"[[0, 0, 2, 1, 0, 0, 0, 0, 1, 2], [2, 0, 0, 0, 2, 1, 0, 0, 0, 1], [2, 0, 2, 1, 2, 1, 0, 0, 1, 0], [0, 1, 2, 0, 0, 2, 1, 1, 0, 0]]"
10_75,"[[2, 1, 0, 2, 2, 2, 0, 1, 1, 2], [0, 0, 2, 1, 2, 0, 0, 0, 0, 1], [2, 1, 2, 0, 1, 2, 0, 1, 1, 0], [2, 0, 0, 0, 1, 2, 1, 0, 0, 0]]"
10_76,"[[2, 2, 2, 0, 0, 2, 2, 1, 0, 1]]"
10_77,"[[2, 0, 0, 1, 2, 0, 0, 0, 0, 1]]"
10_78,"[[2, 1, 1, 0, 2, 0, 1, 1, 1, 1]]"
10_82,"[[2, 1, 2, 0, 0, 1, 0, 2, 0, 1]]"
10_84,"[[2, 1, 0, 2, 0, 2, 1, 0, 1, 1]]"
10_85,"[[2, 1, 2, 0, 2, 2, 0, 1, 0, 1]]"
10_87,"[[2, 1, 1, 0, 1, 2, 0, 2, 0, 1]]"
10_89,"[[0, 1, 2, 0, 2, 1, 2, 2, 0, 1]]"
10_96,"[[0, 0, 2, 1, 1, 2, 0, 0, 0, 1]]"
10_97,"[[1, 0, 2, 2, 2, 1, 2, 2, 0, 1]]"
10_98,"[[1, 2, 2, 0, 2, 0, 1, 0, 1, 2], [0, 0, 2, 2, 1, 2, 2, 0, 0, 1], [1, 2, 1, 2, 0, 2, 0, 0, 1, 0], [0, 2, 1, 0, 0, 0, 2, 1, 0, 0]]"
10_99,"[[1, 1, 0, 1, 0, 2, 0, 2, 1, 2], [2, 1, 2, 0, 2, 0, 0, 1, 0, 1], [0, 2, 2, 1, 2, 2, 0, 0, 1, 0], [2, 1, 0, 0, 0, 2, 1, 0, 0, 0]]"
10_103,"[[2, 0, 2, 1, 1, 2, 0, 1, 0, 1]]"
10_106,"[[2, 0, 2, 1, 1, 2, 0, 1, 0, 1]]"
10_107,"[[2, 1, 0, 2, 1, 0, 2, 2, 0, 1]]"
10_108,"[[2, 1, 1, 2, 0, 2, 0, 1, 0, 1]]"
10_112,"[[1, 2, 1, 1, 1, 0, 2, 0, 0, 1]]"
10_113,"[[2, 0, 2, 2, 1, 1, 0, 1, 1, 1]]"
10_114,"[[0, 0, 2, 2, 1, 2, 2, 2, 0, 1]]"
10_120,"[[1, 2, 2, 0, 2, 2, 1, 1, 0, 1]]"
10_122,"[[1, 2, 0, 0, 2, 2, 1, 0, 0, 1]]"
10_136,"[[0, 2, 1, 2, 1, 0, 0, 2, 0, 1]]"
10_139,"[[1, 1, 2, 1, 1, 1, 0, 2, 0, 1]]"
10_140,"[[2, 0, 1, 1, 1, 2, 0, 1, 1, 1]]"
10_141,"[[2, 2, 2, 0, 2, 2, 2, 1, 0, 1]]"
10_142,"[[2, 0, 2, 1, 1, 1, 0, 1, 1, 1]]"
10_143,"[[2, 2, 2, 0, 2, 2, 2, 1, 0, 1]]"
10_144,"[[2, 1, 1, 1, 0, 2, 0, 1, 1, 1]]"
10_145,"[[0, 2, 1, 1, 1, 1, 1, 2, 0, 1]]"
10_146,"[[1, 1, 0, 2, 1, 2, 0, 1, 1, 1]]"
10_147,"[[2, 0, 2, 2, 1, 1, 0, 1, 1, 1]]"
10_158,"[[1, 2, 0, 1, 1, 2, 1, 2, 0, 1]]"
10_159,"[[1, 2, 1, 1, 0, 2, 0, 0, 1, 1]]"
10_160,"[[0, 2, 1, 2, 0, 2, 1, 0, 1, 1]]"
10_163,"[[0, 0, 2, 2, 2, 1, 2, 2, 0, 1]]"
10_164,"[[2, 2, 1, 1, 0, 2, 2, 0, 0, 1]]"
10_165,"[[2, 2, 0, 2, 2, 0, 1, 0, 0, 1]]"
11a_6,"[[1, 0, 2, 2, 1, 2, 2, 1, 0, 2, 0, 1]]"
11a_8,"[[1, 0, 2, 2, 1, 2, 2, 1, 0, 2, 0, 1]]"
11a_16,"[[1, 2, 0, 0, 1, 2, 0, 0, 2, 1, 0, 1]]"
11a_17,"[[1, 0, 2, 2, 1, 2, 2, 1, 0, 2, 0, 1]]"
11a_21,"[[1, 2, 0, 0, 1, 0, 0, 2, 1, 2, 0, 1]]"
11a_37,"[[1, 2, 0, 0, 1, 2, 1, 0, 0, 2, 0, 1]]"
11a_38,"[[1, 1, 1, 1, 1, 0, 2, 1, 1, 2, 0, 1]]"
11a_43,"[[2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2], [1, 1, 1, 1, 1, 2, 1, 1, 0, 2, 0, 1], [0, 2, 1, 1, 0, 2, 1, 1, 0, 2, 1, 0], [0, 1, 2, 2, 0, 0, 2, 2, 1, 0, 0, 0]]"
11a_44,"[[2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2], [1, 2, 0, 0, 1, 2, 1, 0, 0, 2, 0, 1], [0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0], [0, 2, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0]]"
11a_45,"[[1, 2, 0, 0, 1, 2, 0, 0, 2, 1, 0, 1]]"
11a_46,"[[1, 0, 2, 2, 1, 2, 2, 2, 2, 2, 0, 1]]"
11a_47,"[[2, 2, 2, 2, 2, 0, 1, 2, 2, 0, 1, 2], [1, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1], [0, 1, 2, 2, 0, 2, 1, 2, 2, 0, 1, 0], [0, 1, 2, 2, 0, 0, 0, 2, 2, 1, 0, 0]]"
11a_49,"[[1, 2, 0, 2, 1, 0, 0, 1, 2, 0, 0, 1]]"
11a_57,"[[2, 2, 2, 2, 2, 0, 1, 2, 2, 0, 1, 2], [1, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1], [0, 1, 2, 2, 0, 2, 1, 2, 2, 0, 1, 0], [0, 1, 2, 2, 0, 0, 0, 2, 2, 1, 0, 0]]"
11a_58,"[[1, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1]]"
11a_63,"[[1, 0, 2, 0, 1, 2, 2, 1, 1, 2, 0, 1]]"
11a_69,"[[1, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1]]"
11a_71,"[[1, 0, 2, 0, 2, 1, 1, 1, 2, 1, 0, 1]]"
11a_72,"[[1, 2, 0, 2, 0, 1, 1, 1, 2, 1, 0, 1]]"
11a_73,"[[1, 1, 1, 1, 2, 1, 1, 0, 0, 2, 0, 1]]"
11a_78,"[[1, 0, 2, 2, 1, 1, 2, 0, 1, 1, 1, 1]]"
11a_90,"[[1, 2, 0, 0, 2, 1, 0, 2, 1, 0, 0, 1]]"
11a_91,"[[1, 2, 0, 0, 2, 1, 0, 2, 1, 0, 0, 1]]"
11a_93,"[[1, 0, 2, 2, 1, 1, 2, 1, 0, 2, 0, 1]]"
11a_99,"[[1, 0, 2, 2, 0, 1, 2, 1, 2, 0, 1, 1]]"
11a_100,"[[1, 1, 1, 1, 2, 1, 1, 1, 0, 2, 0, 1]]"
11a_102,"[[1, 2, 0, 2, 1, 1, 0, 1, 1, 1, 1, 1]]"
11a_103,"[[1, 2, 0, 2, 1, 1, 0, 1, 1, 1, 1, 1]]"
